tipo_celular,module_size,DENND5B_MM,DENND5B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,423.0,0.105,17.0,80,0,0.0,NA,80,100.0,3.40 (2.93-3.88)
oligodendrocyte progenitor cells 7,448.0,0.105,24.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69)
GABA neurons expressing GLU receptors 22,459.0,0.169,56.0,165,0,0.0,NA,165,100.0,5.06 (4.72-5.41)
GLU like neurons 17,1247.0,0.164,70.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,265.0,0.345,94.0,4,1,25.0,NA,3,75.0,1.89 (0.29-3.49)
GABA neurons expressing GABA receptors 13,93.0,0.279,96.0,2,0,0.0,NA,2,100.0,NA
endothelial cells 9,1653.0,0.16,73.0,297,2,0.67,NA,295,99.33,3.67 (3.47-3.88)
oligodendrocytes 20,295.0,0.195,52.0,28,0,0.0,NA,28,100.0,2.19 (1.73-2.65)
GABA like neurons 14,1300.0,0.235,63.0,306,9,2.94,3.67 (2.63-4.71),297,97.06,5.13 (4.87-5.40)
astrocytes 8,260.0,0.224,90.0,4,3,75.0,1.10 (-0.55-2.76),1,25.0,3.78 (NA-NA)
oligodendrocyte progenitor cells 12,138.0,0.458,44.0,5,0,0.0,NA,5,100.0,4.33 (4.33-4.33)
oligodendrocytes 10,1277.0,0.043,8.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,111.0,0.23,21.0,26,0,0.0,NA,26,100.0,2.52 (1.86-3.18)
astrocytes 15,1768.0,0.121,78.0,105,2,1.9,1.25 (-0.12-2.62),103,98.1,3.25 (2.92-3.59)
oligodendrocytes 16,51.0,0.22,36.0,1,0,0.0,NA,1,100.0,3.22 (NA-NA)
da neurons 6,553.0,0.175,76.0,124,1,0.81,NA,123,99.19,4.18 (3.79-4.58)
astrocytes microglia 23,190.0,0.212,15.0,7,1,14.29,NA,6,85.71,4.84 (3.75-5.92)
astrocytes 4,752.0,0.117,8.0,96,0,0.0,NA,96,100.0,3.29 (2.96-3.62)
oligodendrocytes 0,1186.0,0.165,83.0,300,4,1.33,3.56 (NA-NA),296,98.67,3.79 (3.59-4.00)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,854.0,0.132,85.0,76,0,0.0,NA,76,100.0,2.78 (2.45-3.11)
oligodendrocytes 2,804.0,0.175,74.0,84,4,4.76,0.95 (NA-NA),80,95.24,2.71 (2.38-3.05)
