tipo_celular,module_size,TRIT1_MM,TRIT1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,351.0,0.097,11.0,71,4,5.63,1.32 (0.53-2.12),67,94.37,2.71 (2.29-3.14)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.176,96.0,353,31,8.78,1.78 (1.34-2.22),322,91.22,4.16 (3.98-4.34)
GABA neurons expressing GLU receptors 22,1069.0,0.174,56.0,37,3,8.11,1.90 (1.43-2.38),34,91.89,2.18 (1.68-2.68)
GLU like neurons 17,489.0,0.031,1.0,42,1,2.38,2.68 (NA-NA),41,97.62,6.11 (5.58-6.64)
da like neurons 11,200.0,0.15,36.0,8,0,0.0,NA,8,100.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,298.0,0.037,7.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA)
GABA like neurons 14,3052.0,0.11,25.0,125,2,1.6,4.08 (1.96-6.21),123,98.4,3.34 (3.01-3.66)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,708.0,0.232,79.0,32,5,15.62,0.42 (0.32-0.52),27,84.38,3.86 (3.08-4.64)
oligodendrocytes 10,2107.0,0.136,46.0,358,29,8.1,1.73 (1.27-2.19),329,91.9,4.12 (3.94-4.31)
connective tissue cells 21,57.0,0.224,24.0,1,0,0.0,NA,1,100.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,84.0,0.175,46.0,4,0,0.0,NA,4,100.0,0.39 (0.29-0.50)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,62.0,0.382,86.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,2078.0,0.133,87.0,238,11,4.62,3.06 (2.12-4.01),227,95.38,3.67 (3.44-3.90)
microglia 1,1615.0,0.115,59.0,161,27,16.77,1.44 (1.13-1.75),134,83.23,3.74 (3.48-4.00)
oligodendrocytes 3,1003.0,0.08,32.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,1630.0,0.142,50.0,154,3,1.95,3.37 (1.46-5.28),151,98.05,3.24 (2.97-3.51)
