tipo_celular,module_size,CRY1_MM,CRY1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,477.0,0.157,47.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,423.0,0.207,78.0,80,6,7.5,4.56 (3.09-6.04),74,92.5,3.29 (2.80-3.78)
oligodendrocyte progenitor cells 7,666.0,0.414,96.0,127,28,22.05,3.19 (2.41-3.97),99,77.95,4.03 (3.66-4.39)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,412.0,0.296,89.0,141,12,8.51,2.43 (1.59-3.26),129,91.49,3.01 (2.76-3.26)
oligodendrocytes 20,676.0,0.04,15.0,110,5,4.55,1.31 (0.80-1.82),105,95.45,5.24 (4.83-5.66)
GABA like neurons 14,3052.0,0.092,13.0,125,2,1.6,3.02 (2.98-3.06),123,98.4,3.36 (3.03-3.69)
astrocytes 8,577.0,0.18,88.0,83,16,19.28,3.66 (2.29-5.03),67,80.72,3.19 (2.71-3.66)
oligodendrocyte progenitor cells 12,3303.0,0.046,11.0,276,46,16.67,2.24 (1.92-2.55),230,83.33,3.90 (3.66-4.13)
oligodendrocytes 10,1277.0,0.125,61.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,118.0,0.373,93.0,4,0,0.0,NA,4,100.0,1.60 (-1.03-4.24)
astrocytes 15,443.0,0.163,59.0,9,7,77.78,3.73 (2.40-5.05),2,22.22,1.89 (-1.31-5.09)
oligodendrocytes 16,151.0,0.157,24.0,7,0,0.0,NA,7,100.0,1.31 (0.28-2.35)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,327.0,0.281,30.0,120,38,31.67,2.57 (2.15-3.00),82,68.33,4.23 (3.91-4.55)
astrocytes 4,514.0,0.313,88.0,95,9,9.47,1.74 (1.10-2.39),86,90.53,3.57 (3.13-4.01)
oligodendrocytes 0,2078.0,0.115,51.0,238,23,9.66,2.90 (2.43-3.37),215,90.34,3.73 (3.49-3.97)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,681.0,0.069,24.0,87,50,57.47,2.46 (2.11-2.81),37,42.53,2.75 (2.32-3.18)
oligodendrocytes 2,1630.0,0.136,39.0,154,1,0.65,2.71 (NA-NA),153,99.35,3.25 (2.98-3.52)
