tipo_celular,module_size,CXADR_MM,CXADR_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,666.0,0.113,12.0,127,16,12.6,2.80 (2.14-3.47),111,87.4,4.07 (3.70-4.43)
GABA neurons expressing GLU receptors 22,400.0,0.188,45.0,24,8,33.33,0.73 (0.34-1.12),16,66.67,2.87 (2.45-3.28)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,408.0,0.123,32.0,25,11,44.0,2.49 (1.18-3.80),14,56.0,7.21 (6.41-8.00)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,298.0,0.089,34.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA)
GABA like neurons 14,3052.0,0.102,19.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,708.0,0.176,72.0,25,2,8.0,1.22 (-0.77-3.20),23,92.0,3.04 (2.01-4.08)
oligodendrocytes 10,1277.0,0.114,54.0,27,1,3.7,5.62 (NA-NA),26,96.3,5.39 (4.48-6.31)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,151.0,0.166,32.0,7,0,0.0,NA,7,100.0,1.31 (0.28-2.35)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,67.0,0.315,50.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,479.0,0.12,22.0,40,8,20.0,5.42 (4.38-6.46),32,80.0,6.01 (5.42-6.61)
microglia 1,1615.0,0.154,91.0,161,17,10.56,1.38 (0.87-1.89),144,89.44,3.55 (3.29-3.82)
oligodendrocytes 3,639.0,0.124,71.0,15,5,33.33,0.85 (0.13-1.56),10,66.67,4.86 (3.58-6.13)
oligodendrocytes 2,804.0,0.148,47.0,84,6,7.14,1.27 (0.67-1.88),78,92.86,2.83 (2.48-3.17)
