tipo_celular,module_size,IDI1_MM,IDI1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,349.0,0.091,13.0,68,0,0.0,NA,68,100.0,4.37 (3.81-4.93)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,666.0,0.216,78.0,127,3,2.36,4.08 (2.90-5.26),124,97.64,3.82 (3.48-4.17)
GABA neurons expressing GLU receptors 22,848.0,0.26,67.0,262,3,1.15,0.52 (0.18-0.87),259,98.85,4.22 (3.98-4.46)
GLU like neurons 17,1316.0,0.156,76.0,101,1,0.99,2.53 (NA-NA),100,99.01,3.06 (2.70-3.41)
da like neurons 11,1220.0,0.293,80.0,410,5,1.22,3.01 (1.80-4.22),405,98.78,4.27 (4.08-4.46)
GABA neurons expressing GABA receptors 13,265.0,0.164,54.0,78,0,0.0,NA,78,100.0,4.36 (3.94-4.77)
endothelial cells 9,338.0,0.126,47.0,191,1,0.52,3.72 (NA-NA),190,99.48,3.89 (3.66-4.11)
oligodendrocytes 20,938.0,0.092,33.0,169,5,2.96,1.92 (0.40-3.44),164,97.04,3.54 (3.32-3.75)
GABA like neurons 14,2402.0,0.324,70.0,455,12,2.64,1.19 (0.48-1.89),443,97.36,4.46 (4.28-4.64)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.081,53.0,276,12,4.35,2.73 (1.65-3.81),264,95.65,3.59 (3.37-3.81)
oligodendrocytes 10,806.0,0.214,66.0,261,0,0.0,NA,261,100.0,4.36 (4.12-4.61)
connective tissue cells 21,85.0,0.323,54.0,3,0,0.0,NA,3,100.0,1.74 (1.73-1.75)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,155.0,0.225,56.0,8,2,25.0,0.47 (0.34-0.61),6,75.0,4.21 (0.18-8.24)
da neurons 6,409.0,0.145,60.0,235,5,2.13,2.31 (1.05-3.58),230,97.87,4.03 (3.77-4.28)
astrocytes microglia 23,112.0,0.383,81.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,613.0,0.158,64.0,127,0,0.0,NA,127,100.0,3.05 (2.64-3.46)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,457.0,0.095,37.0,345,4,1.16,2.91 (2.26-3.56),341,98.84,4.30 (4.09-4.51)
oligodendrocytes 2,528.0,0.223,62.0,175,0,0.0,NA,175,100.0,4.38 (4.03-4.73)
