tipo_celular,module_size,USP12_MM,USP12_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,218.0,0.231,65.0,5,0,0.0,NA,5,100.0,2.33 (0.29-4.37)
T cells 18,518.0,0.144,42.0,131,0,0.0,NA,131,100.0,3.07 (2.80-3.35)
astrocytes 5,1656.0,0.136,82.0,136,1,0.74,1.96 (NA-NA),135,99.26,3.22 (2.95-3.49)
oligodendrocyte progenitor cells 7,4285.0,0.158,82.0,353,28,7.93,1.86 (1.37-2.35),325,92.07,4.10 (3.92-4.28)
GABA neurons expressing GLU receptors 22,823.0,0.202,65.0,23,4,17.39,2.59 (1.55-3.63),19,82.61,2.34 (1.44-3.24)
GLU like neurons 17,637.0,0.134,39.0,91,9,9.89,0.97 (0.26-1.69),82,90.11,5.09 (4.64-5.54)
da like neurons 11,71.0,0.087,10.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,412.0,0.246,75.0,141,0,0.0,NA,141,100.0,2.96 (2.72-3.20)
oligodendrocytes 20,295.0,0.201,53.0,28,0,0.0,NA,28,100.0,2.19 (1.73-2.65)
GABA like neurons 14,3052.0,0.098,16.0,125,2,1.6,3.00 (NA-NA),123,98.4,3.36 (3.03-3.68)
astrocytes 8,218.0,0.135,63.0,9,0,0.0,NA,9,100.0,2.12 (1.21-3.03)
oligodendrocyte progenitor cells 12,3303.0,0.074,44.0,276,21,7.61,2.52 (1.89-3.14),255,92.39,3.64 (3.42-3.87)
oligodendrocytes 10,2107.0,0.109,33.0,358,30,8.38,2.02 (1.45-2.59),328,91.62,4.07 (3.88-4.26)
connective tissue cells 21,111.0,0.257,39.0,1,0,0.0,NA,1,100.0,0.40 (NA-NA)
astrocytes 15,1768.0,0.034,4.0,105,14,13.33,1.73 (1.24-2.22),91,86.67,3.46 (3.11-3.82)
oligodendrocytes 16,69.0,0.192,33.0,1,0,0.0,NA,1,100.0,NA
da neurons 6,553.0,0.127,50.0,124,4,3.23,2.82 (1.13-4.50),120,96.77,4.25 (3.85-4.65)
astrocytes microglia 23,131.0,0.3,55.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.139,39.0,104,19,18.27,2.00 (1.50-2.49),85,81.73,3.08 (2.76-3.39)
oligodendrocytes 0,2078.0,0.119,60.0,238,12,5.04,3.59 (2.38-4.81),226,94.96,3.64 (3.41-3.86)
microglia 1,958.0,0.113,53.0,290,1,0.34,1.96 (NA-NA),289,99.66,3.82 (3.59-4.05)
oligodendrocytes 3,743.0,0.085,56.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,921.0,0.131,38.0,200,1,0.5,1.96 (NA-NA),199,99.5,3.63 (3.37-3.90)
