tipo_celular,module_size,FNBP4_MM,FNBP4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,185.0,0.116,4.0,17,0,0.0,NA,17,100.0,1.90 (1.29-2.52)
T cells 18,624.0,0.217,88.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48)
astrocytes 5,932.0,0.091,23.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,4285.0,0.109,16.0,353,13,3.68,1.48 (0.86-2.10),340,96.32,4.01 (3.83-4.19)
GABA neurons expressing GLU receptors 22,1069.0,0.165,50.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,1316.0,0.079,12.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40)
da like neurons 11,853.0,0.084,13.0,133,9,6.77,1.51 (0.74-2.27),124,93.23,3.41 (3.09-3.72)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.163,75.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,348.0,0.09,41.0,33,0,0.0,NA,33,100.0,2.73 (2.25-3.22)
GABA like neurons 14,2090.0,0.175,64.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,1266.0,0.12,78.0,66,10,15.15,1.65 (0.91-2.39),56,84.85,3.56 (3.13-3.99)
oligodendrocyte progenitor cells 12,3303.0,0.137,96.0,276,8,2.9,2.14 (1.48-2.81),268,97.1,3.60 (3.38-3.82)
oligodendrocytes 10,2107.0,0.334,93.0,358,13,3.63,1.48 (0.86-2.10),345,96.37,3.98 (3.79-4.17)
connective tissue cells 21,73.0,0.279,49.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.058,21.0,105,6,5.71,1.76 (1.17-2.35),99,94.29,3.31 (2.96-3.65)
oligodendrocytes 16,82.0,0.142,13.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,255.0,0.259,51.0,57,0,0.0,NA,57,100.0,2.65 (2.29-3.01)
astrocytes 4,752.0,0.133,21.0,96,0,0.0,NA,96,100.0,3.29 (2.96-3.62)
oligodendrocytes 0,1186.0,0.145,51.0,300,0,0.0,NA,300,100.0,3.79 (3.59-4.00)
microglia 1,958.0,0.095,24.0,290,0,0.0,NA,290,100.0,3.81 (3.58-4.04)
oligodendrocytes 3,639.0,0.132,75.0,15,3,20.0,0.35 (0.26-0.44),12,80.0,4.20 (2.87-5.53)
oligodendrocytes 2,804.0,0.16,58.0,84,0,0.0,NA,84,100.0,2.69 (2.35-3.02)
