tipo_celular,module_size,ASB8_MM,ASB8_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.141,59.0,353,5,1.42,1.45 (0.29-2.61),348,98.58,3.93 (3.75-4.12)
GABA neurons expressing GLU receptors 22,823.0,0.198,62.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12)
GLU like neurons 17,380.0,0.177,54.0,39,0,0.0,NA,39,100.0,2.97 (2.41-3.52)
da like neurons 11,1220.0,0.1,15.0,410,1,0.24,0.55 (NA-NA),409,99.76,4.26 (4.07-4.45)
GABA neurons expressing GABA receptors 13,77.0,0.164,44.0,8,2,25.0,2.24 (-0.28-4.75),6,75.0,3.62 (2.82-4.41)
endothelial cells 9,559.0,0.054,3.0,155,0,0.0,NA,155,100.0,4.34 (3.97-4.70)
oligodendrocytes 20,348.0,0.063,31.0,33,0,0.0,NA,33,100.0,2.73 (2.25-3.22)
GABA like neurons 14,2402.0,0.209,45.0,455,3,0.66,0.59 (0.19-0.98),452,99.34,4.38 (4.19-4.56)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.048,13.0,276,2,0.72,1.25 (-0.12-2.62),274,99.28,3.56 (3.35-3.78)
oligodendrocytes 10,735.0,0.119,63.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,113.0,0.325,96.0,10,0,0.0,NA,10,100.0,2.94 (2.13-3.75)
da neurons 6,448.0,0.09,36.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80)
astrocytes microglia 23,59.0,0.262,26.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,2078.0,0.115,52.0,238,0,0.0,NA,238,100.0,3.64 (3.42-3.86)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,743.0,0.083,53.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,1630.0,0.166,91.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
