tipo_celular,module_size,HNRNPM_MM,HNRNPM_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,211,0.133,32.0,47,0,0.0,NA,47,100.0,2.59 (2.10-3.08)
T cells 18,477,0.124,23.0,43,1,2.33,NA,42,97.67,2.03 (1.52-2.53)
astrocytes 5,1141,0.088,5.0,166,21,12.65,1.79 (1.34-2.24),145,87.35,3.65 (3.39-3.90)
oligodendrocyte progenitor cells 7,4285,0.131,43.0,353,45,12.75,2.01 (1.63-2.38),308,87.25,4.23 (4.06-4.41)
GABA neurons expressing GLU receptors 22,599,0.194,41.0,22,1,4.55,0.94 (NA-NA),21,95.45,2.31 (1.48-3.13)
GLU like neurons 17,380,0.188,62.0,39,1,2.56,1.71 (NA-NA),38,97.44,3.00 (2.44-3.56)
da like neurons 11,408,0.093,18.0,25,3,12.0,1.72 (0.18-3.26),22,88.0,5.12 (3.73-6.52)
GABA neurons expressing GABA receptors 13,70,0.117,15.0,4,0,0.0,NA,4,100.0,3.85 (3.81-3.89)
endothelial cells 9,916,0.084,10.0,302,5,1.66,2.58 (1.04-4.12),297,98.34,4.01 (3.79-4.24)
oligodendrocytes 20,233,0.129,17.0,5,0,0.0,NA,5,100.0,0.63 (-0.10-1.37)
GABA like neurons 14,2402,0.16,28.0,455,42,9.23,2.09 (1.68-2.50),413,90.77,4.61 (4.43-4.79)
astrocytes 8,771,0.058,17.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18)
oligodendrocyte progenitor cells 12,708,0.061,23.0,32,6,18.75,0.42 (0.32-0.52),26,81.25,3.86 (3.08-4.64)
oligodendrocytes 10,483,0.17,67.0,129,3,2.33,5.27 (2.99-7.55),126,97.67,3.37 (2.98-3.76)
connective tissue cells 21,116,0.227,17.0,2,0,0.0,NA,2,100.0,0.40 (0.12-0.68)
astrocytes 15,1768,0.143,89.0,105,27,25.71,1.92 (1.54-2.31),78,74.29,3.66 (3.28-4.04)
oligodendrocytes 16,151,0.129,9.0,7,0,0.0,NA,7,100.0,1.31 (0.28-2.35)
da neurons 6,409,0.087,23.0,235,9,3.83,2.20 (1.40-3.00),226,96.17,4.08 (3.82-4.33)
astrocytes microglia 23,327,0.154,3.0,120,11,9.17,1.32 (0.43-2.20),109,90.83,3.76 (3.47-4.06)
astrocytes 4,721,0.156,59.0,61,4,6.56,3.41 (2.76-4.06),57,93.44,2.93 (2.49-3.37)
oligodendrocytes 0,1186,0.104,6.0,300,2,0.67,4.86 (4.86-4.86),298,99.33,3.78 (3.58-3.99)
microglia 1,958,0.108,45.0,290,14,4.83,3.63 (2.72-4.55),276,95.17,3.82 (3.59-4.06)
oligodendrocytes 3,743,0.062,21.0,76,2,2.63,2.44 (NA-NA),74,97.37,3.17 (2.77-3.57)
oligodendrocytes 2,921,0.104,7.0,200,13,6.5,3.01 (2.58-3.44),187,93.5,3.67 (3.38-3.95)
