tipo_celular,module_size,KYAT3_MM,KYAT3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,351.0,0.066,2.0,71,1,1.41,0.21 (NA-NA),70,98.59,2.66 (2.25-3.07)
T cells 18,282.0,0.182,56.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42)
astrocytes 5,1656.0,0.114,46.0,136,2,1.47,1.39 (1.08-1.71),134,98.53,3.24 (2.97-3.51)
oligodendrocyte progenitor cells 7,4285.0,0.161,87.0,353,16,4.53,1.16 (0.70-1.62),337,95.47,4.06 (3.88-4.24)
GABA neurons expressing GLU receptors 22,703.0,0.274,91.0,23,1,4.35,2.53 (NA-NA),22,95.65,2.07 (1.33-2.82)
GLU like neurons 17,795.0,0.178,71.0,80,0,0.0,NA,80,100.0,5.68 (5.27-6.09)
da like neurons 11,200.0,0.205,58.0,8,0,0.0,NA,8,100.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,403.0,0.225,85.0,18,9,50.0,1.15 (0.48-1.81),9,50.0,2.61 (1.61-3.61)
GABA like neurons 14,3052.0,0.221,97.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,262.0,0.037,2.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74)
oligodendrocyte progenitor cells 12,3303.0,0.134,96.0,276,8,2.9,1.58 (0.95-2.21),268,97.1,3.62 (3.40-3.84)
oligodendrocytes 10,2107.0,0.122,39.0,358,15,4.19,1.12 (0.64-1.60),343,95.81,4.02 (3.84-4.21)
connective tissue cells 21,111.0,0.279,50.0,1,0,0.0,NA,1,100.0,NA
astrocytes 15,1768.0,0.063,26.0,105,10,9.52,1.55 (0.94-2.17),95,90.48,3.40 (3.06-3.75)
oligodendrocytes 16,112.0,0.176,52.0,1,0,0.0,NA,1,100.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,157.0,0.324,56.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.16,79.0,104,10,9.62,1.43 (0.78-2.07),94,90.38,3.03 (2.74-3.31)
oligodendrocytes 0,2078.0,0.1,21.0,238,3,1.26,1.80 (0.23-3.37),235,98.74,3.66 (3.44-3.88)
microglia 1,958.0,0.119,61.0,290,1,0.34,3.22 (NA-NA),289,99.66,3.82 (3.59-4.05)
oligodendrocytes 3,1003.0,0.081,34.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,1630.0,0.121,15.0,154,1,0.65,1.82 (NA-NA),153,99.35,3.26 (2.99-3.52)
