tipo_celular,module_size,CEP290_MM,CEP290_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,185.0,0.213,60.0,17,1,5.88,NA,16,94.12,1.90 (1.29-2.52)
T cells 18,727.0,0.088,9.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82)
astrocytes 5,1141.0,0.151,76.0,166,36,21.69,2.02 (1.73-2.32),130,78.31,3.82 (3.56-4.09)
oligodendrocyte progenitor cells 7,4285.0,0.169,93.0,353,67,18.98,2.19 (1.93-2.46),286,81.02,4.41 (4.24-4.59)
GABA neurons expressing GLU receptors 22,1069.0,0.207,79.0,37,4,10.81,2.06 (1.60-2.51),33,89.19,2.17 (1.65-2.69)
GLU like neurons 17,1247.0,0.127,44.0,51,2,3.92,2.04 (1.96-2.12),49,96.08,3.70 (3.11-4.30)
da like neurons 11,265.0,0.238,69.0,4,1,25.0,2.74 (NA-NA),3,75.0,1.47 (-0.90-3.84)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.106,33.0,297,2,0.67,NA,295,99.33,3.67 (3.47-3.88)
oligodendrocytes 20,298.0,0.177,65.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA)
GABA like neurons 14,1300.0,0.246,68.0,306,37,12.09,3.52 (2.93-4.10),269,87.91,5.43 (5.16-5.70)
astrocytes 8,260.0,0.166,72.0,4,2,50.0,1.10 (-0.55-2.76),2,50.0,3.78 (NA-NA)
oligodendrocyte progenitor cells 12,3303.0,0.096,71.0,276,58,21.01,2.28 (2.03-2.53),218,78.99,3.99 (3.74-4.24)
oligodendrocytes 10,2107.0,0.101,29.0,358,71,19.83,2.12 (1.86-2.37),287,80.17,4.46 (4.28-4.64)
connective tissue cells 21,86.0,0.248,31.0,7,2,28.57,4.47 (3.98-4.97),5,71.43,2.70 (2.17-3.23)
astrocytes 15,443.0,0.174,67.0,9,1,11.11,0.95 (NA-NA),8,88.89,3.60 (2.32-4.88)
oligodendrocytes 16,90.0,0.151,15.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,54.0,0.414,85.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,787.0,0.127,13.0,65,8,12.31,4.27 (3.68-4.86),57,87.69,2.79 (2.37-3.20)
oligodendrocytes 0,1186.0,0.152,63.0,300,8,2.67,3.04 (2.65-3.43),292,97.33,3.82 (3.60-4.03)
microglia 1,1615.0,0.114,58.0,161,49,30.43,1.88 (1.63-2.14),112,69.57,4.07 (3.79-4.35)
oligodendrocytes 3,357.0,0.175,87.0,127,0,0.0,NA,127,100.0,3.12 (2.79-3.45)
oligodendrocytes 2,804.0,0.142,38.0,84,12,14.29,2.11 (1.14-3.09),72,85.71,2.79 (2.44-3.14)
