tipo_celular,module_size,KIAA1755_MM,KIAA1755_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,932.0,0.208,100.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,229.0,0.171,41.0,45,0,0.0,NA,45,100.0,5.01 (4.39-5.62)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,330.0,0.119,26.0,36,0,0.0,NA,36,100.0,1.92 (1.57-2.27)
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,1266.0,0.163,90.0,66,14,21.21,3.68 (2.74-4.63),52,78.79,3.08 (2.62-3.54)
oligodendrocyte progenitor cells 12,708.0,0.217,79.0,25,3,12.0,3.51 (0.27-6.75),22,88.0,2.76 (1.72-3.80)
oligodendrocytes 10,130.0,0.199,14.0,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,82.0,0.159,3.0,19,0,0.0,NA,19,100.0,7.57 (7.32-7.82)
astrocytes 15,261.0,0.083,14.0,8,1,12.5,0.26 (NA-NA),7,87.5,4.25 (2.24-6.26)
oligodendrocytes 16,91.0,0.158,19.0,5,0,0.0,NA,5,100.0,1.75 (0.02-3.49)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,190.0,0.341,90.0,7,1,14.29,NA,6,85.71,4.84 (3.75-5.92)
astrocytes 4,201.0,0.207,73.0,18,7,38.89,4.54 (2.79-6.29),11,61.11,4.54 (3.50-5.57)
oligodendrocytes 0,1186.0,0.162,78.0,300,2,0.67,3.56 (NA-NA),298,99.33,3.79 (3.59-4.00)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,1003.0,0.126,74.0,111,1,0.9,NA,110,99.1,3.30 (2.96-3.64)
oligodendrocytes 2,407.0,0.189,80.0,122,1,0.82,0.26 (NA-NA),121,99.18,3.36 (2.98-3.75)
