tipo_celular,module_size,TMEM170B_MM,TMEM170B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,352.0,0.27,83.0,73,1,1.37,3.61 (NA-NA),72,98.63,3.56 (3.21-3.91)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.134,79.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48)
oligodendrocyte progenitor cells 7,4285.0,0.144,64.0,353,5,1.42,1.60 (0.58-2.61),348,98.58,3.93 (3.75-4.12)
GABA neurons expressing GLU receptors 22,703.0,0.123,16.0,23,0,0.0,NA,23,100.0,2.09 (1.38-2.80)
GLU like neurons 17,1247.0,0.121,40.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,97.0,0.286,68.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,3052.0,0.191,88.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,262.0,0.049,9.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74)
oligodendrocyte progenitor cells 12,3303.0,0.063,30.0,276,4,1.45,1.10 (0.52-1.69),272,98.55,3.59 (3.37-3.81)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,458.0,0.063,29.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,70.0,0.305,31.0,1,0,0.0,NA,1,100.0,8.28 (NA-NA)
astrocytes 4,1807.0,0.158,74.0,104,3,2.88,0.90 (-0.14-1.94),101,97.12,2.93 (2.65-3.20)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,958.0,0.125,70.0,290,7,2.41,2.15 (1.13-3.18),283,97.59,3.87 (3.64-4.10)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
