tipo_celular,module_size,FAM193B_MM,FAM193B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,395.0,0.151,45.0,97,0,0.0,NA,97,100.0,3.06 (2.66-3.45)
T cells 18,610.0,0.192,76.0,98,15,15.31,1.51 (0.90-2.12),83,84.69,3.40 (3.08-3.71)
astrocytes 5,932.0,0.093,26.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,4285.0,0.165,91.0,353,19,5.38,1.63 (1.05-2.22),334,94.62,4.04 (3.86-4.22)
GABA neurons expressing GLU receptors 22,823.0,0.16,38.0,23,1,4.35,NA,22,95.65,2.40 (1.67-3.12)
GLU like neurons 17,229.0,0.2,52.0,22,0,0.0,NA,22,100.0,2.52 (1.91-3.13)
da like neurons 11,108.0,0.248,66.0,5,0,0.0,NA,5,100.0,4.24 (3.33-5.15)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.137,57.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,403.0,0.228,85.0,18,7,38.89,0.99 (0.31-1.67),11,61.11,2.44 (1.55-3.33)
GABA like neurons 14,2090.0,0.196,78.0,74,2,2.7,NA,72,97.3,2.94 (2.57-3.32)
astrocytes 8,727.0,0.074,27.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,3303.0,0.056,22.0,276,11,3.99,2.03 (1.48-2.58),265,96.01,3.62 (3.39-3.84)
oligodendrocytes 10,2107.0,0.153,52.0,358,19,5.31,1.63 (1.05-2.22),339,94.69,4.01 (3.82-4.20)
connective tissue cells 21,102.0,0.313,66.0,5,2,40.0,1.57 (1.57-1.57),3,60.0,1.01 (NA-NA)
astrocytes 15,1401.0,0.106,68.0,96,2,2.08,1.57 (1.57-1.57),94,97.92,3.67 (3.21-4.12)
oligodendrocytes 16,104.0,0.231,61.0,1,1,100.0,0.26 (NA-NA),0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,132.0,0.224,5.0,1,0,0.0,NA,1,100.0,NA
astrocytes 4,721.0,0.189,97.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38)
oligodendrocytes 0,1186.0,0.107,8.0,300,0,0.0,NA,300,100.0,3.79 (3.59-4.00)
microglia 1,958.0,0.104,39.0,290,2,0.69,1.57 (1.57-1.57),288,99.31,3.83 (3.60-4.06)
oligodendrocytes 3,854.0,0.088,47.0,76,0,0.0,NA,76,100.0,2.78 (2.45-3.11)
oligodendrocytes 2,921.0,0.129,35.0,200,2,1.0,NA,198,99.0,3.62 (3.36-3.89)
