tipo_celular,module_size,LRFN2_MM,LRFN2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,117.0,0.139,40.0,28,1,3.57,2.43 (NA-NA),27,96.43,5.43 (4.87-5.98)
oligodendrocyte progenitor cells 7,4285.0,0.136,51.0,353,0,0.0,NA,353,100.0,3.89 (3.70-4.08)
GABA neurons expressing GLU receptors 22,459.0,0.327,92.0,165,2,1.21,2.53 (2.34-2.73),163,98.79,5.11 (4.76-5.46)
GLU like neurons 17,1247.0,0.121,40.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,97.0,0.346,77.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,1300.0,0.322,93.0,306,3,0.98,2.12 (1.30-2.94),303,99.02,5.14 (4.87-5.40)
astrocytes 8,262.0,0.145,54.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74)
oligodendrocyte progenitor cells 12,3303.0,0.126,92.0,276,0,0.0,NA,276,100.0,3.54 (3.32-3.76)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,268.0,0.035,6.0,10,0,0.0,NA,10,100.0,3.69 (2.00-5.38)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,37.0,0.265,23.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,251.0,0.166,53.0,34,0,0.0,NA,34,100.0,5.25 (4.63-5.86)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
