tipo_celular,module_size,FAM91A1_MM,FAM91A1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,181.0,0.159,24.0,8,1,12.5,2.91 (NA-NA),7,87.5,1.04 (0.29-1.79)
T cells 18,727.0,0.156,59.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82)
astrocytes 5,1656.0,0.162,99.0,136,3,2.21,3.28 (2.89-3.67),133,97.79,3.21 (2.93-3.48)
oligodendrocyte progenitor cells 7,4285.0,0.149,71.0,353,31,8.78,2.65 (2.09-3.21),322,91.22,4.05 (3.86-4.24)
GABA neurons expressing GLU receptors 22,599.0,0.229,62.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,408.0,0.098,21.0,25,4,16.0,1.42 (0.66-2.18),21,84.0,5.41 (4.04-6.79)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,412.0,0.105,19.0,141,5,3.55,3.20 (2.41-3.99),136,96.45,2.95 (2.70-3.20)
oligodendrocytes 20,221.0,0.256,70.0,12,0,0.0,NA,12,100.0,2.42 (0.83-4.00)
GABA like neurons 14,3052.0,0.158,66.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,727.0,0.069,24.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,3303.0,0.078,50.0,276,18,6.52,3.10 (2.58-3.61),258,93.48,3.58 (3.35-3.82)
oligodendrocytes 10,2107.0,0.11,33.0,358,28,7.82,2.68 (2.05-3.30),330,92.18,4.00 (3.80-4.20)
connective tissue cells 21,102.0,0.361,80.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.05,14.0,105,12,11.43,2.40 (1.70-3.11),93,88.57,3.33 (2.96-3.69)
oligodendrocytes 16,65.0,0.251,72.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,553.0,0.073,6.0,124,4,3.23,3.41 (1.43-5.39),120,96.77,4.22 (3.82-4.62)
astrocytes microglia 23,58.0,0.324,46.0,6,0,0.0,NA,6,100.0,5.75 (NA-NA)
astrocytes 4,1807.0,0.145,52.0,104,9,8.65,2.31 (1.31-3.30),95,91.35,2.92 (2.63-3.21)
oligodendrocytes 0,2078.0,0.123,68.0,238,8,3.36,2.93 (2.00-3.86),230,96.64,3.67 (3.44-3.89)
microglia 1,958.0,0.123,68.0,290,12,4.14,3.11 (2.55-3.66),278,95.86,3.85 (3.61-4.09)
oligodendrocytes 3,681.0,0.102,57.0,87,4,4.6,0.89 (0.20-1.58),83,95.4,2.67 (2.40-2.94)
oligodendrocytes 2,347.0,0.143,18.0,15,1,6.67,5.21 (NA-NA),14,93.33,4.80 (3.88-5.72)
