tipo_celular,module_size,BTBD8_MM,BTBD8_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1141.0,0.111,23.0,166,7,4.22,2.17 (1.40-2.94),159,95.78,3.46 (3.20-3.71)
oligodendrocyte progenitor cells 7,4285.0,0.11,17.0,353,11,3.12,1.53 (0.81-2.24),342,96.88,3.99 (3.81-4.17)
GABA neurons expressing GLU receptors 22,848.0,0.274,70.0,262,0,0.0,NA,262,100.0,4.16 (3.91-4.40)
GLU like neurons 17,489.0,0.087,15.0,42,0,0.0,NA,42,100.0,5.99 (5.44-6.55)
da like neurons 11,1220.0,0.118,24.0,410,0,0.0,NA,410,100.0,4.25 (4.06-4.43)
GABA neurons expressing GABA receptors 13,93.0,0.132,29.0,2,0,0.0,NA,2,100.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,253.0,0.095,23.0,7,0,0.0,NA,7,100.0,0.94 (0.08-1.80)
GABA like neurons 14,3052.0,0.222,97.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,771.0,0.063,20.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18)
oligodendrocyte progenitor cells 12,3303.0,0.129,93.0,276,6,2.17,2.44 (1.78-3.10),270,97.83,3.57 (3.35-3.80)
oligodendrocytes 10,806.0,0.172,55.0,261,0,0.0,NA,261,100.0,4.36 (4.12-4.61)
connective tissue cells 21,139.0,0.29,39.0,4,0,0.0,NA,4,100.0,3.51 (2.25-4.78)
astrocytes 15,458.0,0.063,29.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85)
oligodendrocytes 16,94.0,0.161,20.0,5,1,20.0,3.65 (NA-NA),4,80.0,2.64 (1.13-4.14)
da neurons 6,518.0,0.135,73.0,122,3,2.46,0.48 (0.39-0.58),119,97.54,4.10 (3.72-4.49)
astrocytes microglia 23,78.0,0.261,16.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,721.0,0.132,16.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38)
oligodendrocytes 0,1186.0,0.151,62.0,300,0,0.0,NA,300,100.0,3.79 (3.59-4.00)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,357.0,0.101,56.0,127,0,0.0,NA,127,100.0,3.12 (2.79-3.45)
oligodendrocytes 2,804.0,0.138,33.0,84,0,0.0,NA,84,100.0,2.69 (2.35-3.02)
