tipo_celular,module_size,AFF1_MM,AFF1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,360.0,0.12,19.0,102,16,15.69,1.79 (1.36-2.21),86,84.31,3.81 (3.43-4.20)
T cells 18,388.0,0.174,64.0,84,2,2.38,2.29 (2.26-2.32),82,97.62,2.99 (2.66-3.33)
astrocytes 5,423.0,0.137,41.0,80,1,1.25,1.04 (NA-NA),79,98.75,3.44 (2.96-3.91)
oligodendrocyte progenitor cells 7,666.0,0.182,62.0,127,3,2.36,0.90 (0.75-1.04),124,97.64,3.94 (3.61-4.27)
GABA neurons expressing GLU receptors 22,823.0,0.169,44.0,23,1,4.35,1.01 (NA-NA),22,95.65,2.48 (1.73-3.23)
GLU like neurons 17,685.0,0.157,63.0,135,12,8.89,1.27 (1.02-1.52),123,91.11,3.42 (3.10-3.73)
da like neurons 11,153.0,0.309,72.0,2,0,0.0,NA,2,100.0,5.80 (NA-NA)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.182,84.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,298.0,0.289,91.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA)
GABA like neurons 14,3052.0,0.169,75.0,125,1,0.8,NA,124,99.2,3.35 (3.03-3.68)
astrocytes 8,727.0,0.238,96.0,29,1,3.45,1.82 (NA-NA),28,96.55,2.39 (1.88-2.90)
oligodendrocyte progenitor cells 12,3303.0,0.114,86.0,276,22,7.97,1.74 (1.42-2.06),254,92.03,3.75 (3.53-3.97)
oligodendrocytes 10,2107.0,0.389,97.0,358,30,8.38,1.43 (1.11-1.75),328,91.62,4.16 (3.98-4.34)
connective tissue cells 21,152.0,0.247,44.0,21,0,0.0,NA,21,100.0,5.18 (3.84-6.52)
astrocytes 15,1768.0,0.076,40.0,105,14,13.33,1.38 (1.03-1.74),91,86.67,3.52 (3.18-3.87)
oligodendrocytes 16,108.0,0.2,65.0,5,0,0.0,NA,5,100.0,3.97 (2.94-5.00)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,327.0,0.145,2.0,120,9,7.5,1.14 (0.67-1.60),111,92.5,3.86 (3.58-4.14)
astrocytes 4,514.0,0.124,12.0,95,4,4.21,1.14 (0.66-1.61),91,95.79,3.50 (3.07-3.92)
oligodendrocytes 0,1186.0,0.15,61.0,300,0,0.0,NA,300,100.0,3.79 (3.59-4.00)
microglia 1,315.0,0.155,41.0,144,0,0.0,NA,144,100.0,4.46 (4.15-4.77)
oligodendrocytes 3,1003.0,0.109,63.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,804.0,0.165,64.0,84,4,4.76,0.91 (0.25-1.56),80,95.24,2.80 (2.47-3.14)
