tipo_celular,module_size,ST7L_MM,ST7L_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,159.0,0.21,50.0,18,0,0.0,NA,18,100.0,2.04 (1.57-2.51)
T cells 18,477.0,0.175,58.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,1141.0,0.099,13.0,166,3,1.81,1.83 (0.23-3.42),163,98.19,3.43 (3.17-3.68)
oligodendrocyte progenitor cells 7,4285.0,0.174,95.0,353,5,1.42,1.79 (0.92-2.67),348,98.58,3.93 (3.74-4.11)
GABA neurons expressing GLU receptors 22,703.0,0.245,82.0,23,0,0.0,NA,23,100.0,2.09 (1.38-2.80)
GLU like neurons 17,1316.0,0.102,30.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40)
da like neurons 11,200.0,0.164,41.0,8,0,0.0,NA,8,100.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.149,66.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,358.0,0.023,4.0,31,0,0.0,NA,31,100.0,2.36 (1.93-2.79)
GABA like neurons 14,3052.0,0.203,93.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,1266.0,0.052,17.0,66,6,9.09,1.81 (0.89-2.73),60,90.91,3.39 (2.96-3.83)
oligodendrocyte progenitor cells 12,3303.0,0.091,65.0,276,2,0.72,0.96 (0.79-1.12),274,99.28,3.57 (3.35-3.78)
oligodendrocytes 10,1277.0,0.117,56.0,27,1,3.7,6.33 (NA-NA),26,96.3,5.35 (4.44-6.26)
connective tissue cells 21,110.0,0.226,28.0,13,0,0.0,NA,13,100.0,3.11 (2.29-3.94)
astrocytes 15,1768.0,0.014,0.0,105,5,4.76,1.79 (0.92-2.67),100,95.24,3.29 (2.95-3.63)
oligodendrocytes 16,113.0,0.206,75.0,11,0,0.0,NA,11,100.0,1.74 (0.78-2.71)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,132.0,0.454,94.0,1,0,0.0,NA,1,100.0,NA
astrocytes 4,721.0,0.166,76.0,61,2,3.28,1.74 (1.73-1.75),59,96.72,3.01 (2.59-3.43)
oligodendrocytes 0,2078.0,0.117,56.0,238,1,0.42,0.21 (NA-NA),237,99.58,3.65 (3.43-3.87)
microglia 1,813.0,0.108,40.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50)
oligodendrocytes 3,854.0,0.092,53.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14)
oligodendrocytes 2,921.0,0.14,54.0,200,0,0.0,NA,200,100.0,3.62 (3.36-3.89)
