tipo_celular,module_size,FAM20B_MM,FAM20B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,388.0,0.127,36.0,84,0,0.0,NA,84,100.0,2.97 (2.65-3.30)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.127,37.0,353,27,7.65,1.72 (1.28-2.16),326,92.35,4.13 (3.95-4.31)
GABA neurons expressing GLU receptors 22,848.0,0.137,17.0,262,4,1.53,0.95 (0.08-1.83),258,98.47,4.23 (3.99-4.47)
GLU like neurons 17,1316.0,0.113,41.0,101,1,0.99,2.53 (NA-NA),100,99.01,3.06 (2.70-3.41)
da like neurons 11,142.0,0.235,53.0,2,0,0.0,NA,2,100.0,4.56 (NA-NA)
GABA neurons expressing GABA receptors 13,238.0,0.246,84.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40)
endothelial cells 9,385.0,0.085,28.0,275,20,7.27,1.38 (0.97-1.80),255,92.73,4.25 (4.00-4.51)
oligodendrocytes 20,298.0,0.039,9.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA)
GABA like neurons 14,3052.0,0.14,51.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.051,16.0,276,19,6.88,2.13 (1.66-2.61),257,93.12,3.68 (3.46-3.91)
oligodendrocytes 10,735.0,0.072,31.0,277,1,0.36,3.85 (NA-NA),276,99.64,3.89 (3.65-4.14)
connective tissue cells 21,112.0,0.128,4.0,7,0,0.0,NA,7,100.0,1.95 (1.17-2.73)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,90.0,0.234,60.0,2,0,0.0,NA,2,100.0,1.33 (0.57-2.09)
da neurons 6,448.0,0.157,86.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80)
astrocytes microglia 23,51.0,0.317,64.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,2078.0,0.096,15.0,238,4,1.68,2.18 (0.85-3.51),234,98.32,3.67 (3.44-3.89)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,854.0,0.052,8.0,76,3,3.95,2.68 (0.25-5.12),73,96.05,2.78 (2.45-3.12)
oligodendrocytes 2,1630.0,0.131,29.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
