tipo_celular,module_size,FAM53C_MM,FAM53C_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,206.0,0.326,97.0,10,0,0.0,NA,10,100.0,1.83 (0.82-2.85)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.116,51.0,136,1,0.74,4.54 (NA-NA),135,99.26,3.20 (2.93-3.47)
oligodendrocyte progenitor cells 7,4285.0,0.131,43.0,353,27,7.65,2.54 (1.89-3.19),326,92.35,4.02 (3.83-4.21)
GABA neurons expressing GLU receptors 22,599.0,0.306,87.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,71.0,0.06,2.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,938.0,0.058,15.0,169,8,4.73,2.74 (1.66-3.83),161,95.27,3.53 (3.30-3.75)
GABA like neurons 14,2090.0,0.133,35.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,577.0,0.081,47.0,83,0,0.0,NA,83,100.0,3.25 (2.80-3.70)
oligodendrocyte progenitor cells 12,3303.0,0.045,11.0,276,19,6.88,3.08 (2.44-3.73),257,93.12,3.58 (3.35-3.81)
oligodendrocytes 10,2107.0,0.048,5.0,358,26,7.26,2.56 (1.88-3.24),332,92.74,3.98 (3.79-4.18)
connective tissue cells 21,92.0,0.403,93.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.053,16.0,105,12,11.43,2.82 (1.95-3.69),93,88.57,3.27 (2.91-3.63)
oligodendrocytes 16,113.0,0.241,71.0,10,0,0.0,NA,10,100.0,2.94 (2.13-3.75)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,125.0,0.315,59.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,514.0,0.152,30.0,95,0,0.0,NA,95,100.0,3.37 (2.95-3.79)
oligodendrocytes 0,2078.0,0.12,62.0,238,10,4.2,3.35 (2.25-4.44),228,95.8,3.65 (3.42-3.87)
microglia 1,480.0,0.176,44.0,163,0,0.0,NA,163,100.0,3.71 (3.44-3.97)
oligodendrocytes 3,743.0,0.044,5.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,1630.0,0.173,96.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
