tipo_celular,module_size,EMC10_MM,EMC10_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,349.0,0.046,1.0,68,9,13.24,2.54 (1.39-3.69),59,86.76,4.75 (4.18-5.32)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,628.0,0.247,82.0,164,12,7.32,4.10 (3.35-4.86),152,92.68,4.08 (3.73-4.44)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,938.0,0.108,41.0,169,10,5.92,2.77 (1.97-3.57),159,94.08,3.54 (3.31-3.76)
GABA like neurons 14,2402.0,0.116,14.0,455,26,5.71,2.92 (2.26-3.59),429,94.29,4.46 (4.28-4.65)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,1049.0,0.134,70.0,235,8,3.4,4.03 (3.00-5.07),227,96.6,3.81 (3.58-4.05)
oligodendrocytes 10,1277.0,0.089,37.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,96.0,0.117,2.0,102,6,5.88,1.85 (0.59-3.11),96,94.12,3.46 (3.13-3.79)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,78.0,0.344,59.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,86.0,0.244,85.0,2,0,0.0,NA,2,100.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,743.0,0.206,98.0,76,5,6.58,3.76 (3.68-3.85),71,93.42,3.11 (2.69-3.54)
oligodendrocytes 2,526.0,0.172,21.0,213,0,0.0,NA,213,100.0,3.98 (3.70-4.25)
