tipo_celular,module_size,REEP3_MM,REEP3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500.0,0.165,52.0,32,1,3.12,2.24 (NA-NA),31,96.88,3.78 (2.98-4.58)
T cells 18,727.0,0.191,82.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82)
astrocytes 5,1141.0,0.101,15.0,166,9,5.42,1.81 (1.03-2.58),157,94.58,3.50 (3.25-3.76)
oligodendrocyte progenitor cells 7,4285.0,0.152,76.0,353,24,6.8,1.91 (1.40-2.43),329,93.2,4.08 (3.90-4.26)
GABA neurons expressing GLU receptors 22,714.0,0.285,89.0,17,0,0.0,NA,17,100.0,2.31 (1.72-2.89)
GLU like neurons 17,637.0,0.112,28.0,91,15,16.48,1.15 (0.64-1.67),76,83.52,5.27 (4.85-5.70)
da like neurons 11,172.0,0.188,39.0,8,0,0.0,NA,8,100.0,3.69 (3.52-3.86)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,412.0,0.176,50.0,141,0,0.0,NA,141,100.0,2.96 (2.72-3.20)
oligodendrocytes 20,250.0,0.082,15.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62)
GABA like neurons 14,3052.0,0.142,53.0,125,1,0.8,4.56 (NA-NA),124,99.2,3.34 (3.02-3.67)
astrocytes 8,771.0,0.083,32.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18)
oligodendrocyte progenitor cells 12,708.0,0.134,60.0,32,8,25.0,0.92 (0.44-1.39),24,75.0,4.18 (3.37-4.99)
oligodendrocytes 10,1277.0,0.141,69.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,95.0,0.183,4.0,4,0,0.0,NA,4,100.0,3.47 (2.36-4.59)
astrocytes 15,458.0,0.093,49.0,36,1,2.78,NA,35,97.22,3.77 (2.68-4.85)
oligodendrocytes 16,86.0,0.195,59.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,53.0,0.259,20.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,752.0,0.14,30.0,96,3,3.12,2.10 (1.06-3.14),93,96.88,3.34 (3.00-3.67)
oligodendrocytes 0,309.0,0.151,68.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69)
microglia 1,1615.0,0.091,23.0,161,10,6.21,0.80 (0.36-1.24),151,93.79,3.48 (3.22-3.73)
oligodendrocytes 3,854.0,0.138,88.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14)
oligodendrocytes 2,528.0,0.171,30.0,175,8,4.57,3.45 (2.74-4.16),167,95.43,4.44 (4.07-4.80)
