tipo_celular,module_size,TSC22D3_MM,TSC22D3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,159.0,0.209,49.0,18,0,0.0,NA,18,100.0,2.04 (1.57-2.51)
T cells 18,518.0,0.27,93.0,131,0,0.0,NA,131,100.0,3.07 (2.80-3.35)
astrocytes 5,328.0,0.057,1.0,128,8,6.25,4.68 (4.16-5.19),120,93.75,3.47 (3.10-3.83)
oligodendrocyte progenitor cells 7,4285.0,0.095,7.0,353,8,2.27,1.59 (0.71-2.47),345,97.73,3.96 (3.77-4.14)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,266.0,0.118,22.0,118,0,0.0,NA,118,100.0,4.74 (4.38-5.09)
endothelial cells 9,586.0,0.18,42.0,62,1,1.61,2.43 (NA-NA),61,98.39,4.08 (3.63-4.53)
oligodendrocytes 20,228.0,0.231,62.0,5,3,60.0,1.91 (0.06-3.75),2,40.0,5.27 (2.10-8.45)
GABA like neurons 14,2402.0,0.34,72.0,455,3,0.66,0.59 (0.19-0.98),452,99.34,4.38 (4.19-4.56)
astrocytes 8,603.0,0.111,70.0,89,0,0.0,NA,89,100.0,2.76 (2.41-3.11)
oligodendrocyte progenitor cells 12,708.0,0.124,57.0,32,4,12.5,2.26 (0.89-3.64),28,87.5,3.41 (2.50-4.32)
oligodendrocytes 10,483.0,0.093,39.0,129,0,0.0,NA,129,100.0,3.43 (3.04-3.82)
connective tissue cells 21,125.0,0.273,37.0,10,0,0.0,NA,10,100.0,1.32 (0.64-1.99)
astrocytes 15,458.0,0.133,68.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85)
oligodendrocytes 16,96.0,0.171,17.0,102,1,0.98,0.95 (NA-NA),101,99.02,3.37 (3.04-3.70)
da neurons 6,448.0,0.081,26.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80)
astrocytes microglia 23,157.0,0.281,36.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,208.0,0.158,28.0,173,9,5.2,5.00 (4.22-5.78),164,94.8,3.70 (3.38-4.01)
oligodendrocytes 0,613.0,0.133,41.0,127,1,0.79,2.74 (NA-NA),126,99.21,3.05 (2.64-3.47)
microglia 1,1615.0,0.166,95.0,161,6,3.73,1.24 (0.21-2.27),155,96.27,3.37 (3.10-3.64)
oligodendrocytes 3,681.0,0.116,68.0,87,5,5.75,2.26 (1.29-3.23),82,94.25,2.60 (2.32-2.89)
oligodendrocytes 2,921.0,0.168,91.0,200,0,0.0,NA,200,100.0,3.62 (3.36-3.89)
