tipo_celular,module_size,KIF13A_MM,KIF13A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,218.0,0.232,66.0,5,0,0.0,NA,5,100.0,2.33 (0.29-4.37)
T cells 18,349.0,0.266,73.0,68,15,22.06,2.95 (1.89-4.00),53,77.94,4.80 (4.20-5.39)
astrocytes 5,932.0,0.127,75.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,436.0,0.238,93.0,219,1,0.46,NA,218,99.54,5.21 (4.92-5.50)
GABA neurons expressing GLU receptors 22,1069.0,0.172,55.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,637.0,0.203,64.0,91,17,18.68,1.48 (0.84-2.12),74,81.32,5.34 (4.92-5.77)
da like neurons 11,97.0,0.474,95.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.212,93.0,297,10,3.37,3.56 (2.88-4.24),287,96.63,3.68 (3.47-3.89)
oligodendrocytes 20,676.0,0.609,89.0,110,13,11.82,2.76 (1.75-3.78),97,88.18,5.32 (4.88-5.76)
GABA like neurons 14,3052.0,0.11,26.0,125,3,2.4,4.56 (NA-NA),122,97.6,3.34 (3.02-3.67)
astrocytes 8,262.0,0.231,86.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74)
oligodendrocyte progenitor cells 12,411.0,0.338,79.0,103,0,0.0,NA,103,100.0,5.55 (5.16-5.93)
oligodendrocytes 10,236.0,0.463,40.0,82,1,1.22,NA,81,98.78,4.99 (4.48-5.51)
connective tissue cells 21,114.0,0.145,2.0,19,0,0.0,NA,19,100.0,4.90 (4.18-5.61)
astrocytes 15,367.0,0.08,18.0,17,1,5.88,2.91 (NA-NA),16,94.12,2.03 (1.01-3.05)
oligodendrocytes 16,287.0,0.385,74.0,105,8,7.62,1.74 (0.69-2.80),97,92.38,5.39 (4.98-5.79)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,255.0,0.157,3.0,57,4,7.02,2.74 (2.51-2.97),53,92.98,2.65 (2.26-3.03)
astrocytes 4,201.0,0.148,29.0,18,0,0.0,NA,18,100.0,4.54 (3.65-5.42)
oligodendrocytes 0,261.0,0.214,70.0,42,15,35.71,2.56 (1.53-3.59),27,64.29,4.85 (4.14-5.56)
microglia 1,127.0,0.113,20.0,24,0,0.0,NA,24,100.0,5.17 (4.46-5.87)
oligodendrocytes 3,99.0,0.307,85.0,24,0,0.0,NA,24,100.0,6.50 (5.81-7.19)
oligodendrocytes 2,237.0,0.292,78.0,26,0,0.0,NA,26,100.0,5.22 (4.28-6.15)
