tipo_celular,module_size,TPK1_MM,TPK1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500.0,0.114,17.0,32,0,0.0,NA,32,100.0,3.72 (2.95-4.50)
T cells 18,610.0,0.166,61.0,98,8,8.16,1.77 (0.78-2.76),90,91.84,3.25 (2.93-3.57)
astrocytes 5,499.0,0.129,28.0,32,0,0.0,NA,32,100.0,5.02 (4.53-5.52)
oligodendrocyte progenitor cells 7,4285.0,0.129,40.0,353,11,3.12,1.69 (0.93-2.44),342,96.88,3.98 (3.80-4.17)
GABA neurons expressing GLU receptors 22,703.0,0.256,85.0,23,1,4.35,2.53 (NA-NA),22,95.65,2.07 (1.33-2.82)
GLU like neurons 17,1247.0,0.118,37.0,51,1,1.96,3.78 (NA-NA),50,98.04,3.62 (3.03-4.21)
da like neurons 11,109.0,0.129,20.0,1,0,0.0,NA,1,100.0,1.71 (NA-NA)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,658.0,0.189,45.0,120,4,3.33,3.35 (2.89-3.82),116,96.67,4.66 (4.33-4.98)
oligodendrocytes 20,233.0,0.402,92.0,5,0,0.0,NA,5,100.0,0.63 (-0.10-1.37)
GABA like neurons 14,3052.0,0.149,59.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,283.0,0.163,64.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,708.0,0.039,5.0,25,2,8.0,2.01 (-1.53-5.55),23,92.0,2.96 (1.92-3.99)
oligodendrocytes 10,2107.0,0.206,71.0,358,11,3.07,1.69 (0.93-2.44),347,96.93,3.95 (3.76-4.14)
connective tissue cells 21,104.0,0.24,25.0,3,0,0.0,NA,3,100.0,1.89 (-1.31-5.09)
astrocytes 15,458.0,0.031,5.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85)
oligodendrocytes 16,91.0,0.203,40.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,255.0,0.313,88.0,57,3,5.26,3.23 (2.15-4.31),54,94.74,2.63 (2.26-3.00)
astrocytes 4,787.0,0.13,15.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,309.0,0.131,47.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69)
microglia 1,1615.0,0.151,90.0,161,11,6.83,1.69 (0.93-2.44),150,93.17,3.42 (3.15-3.69)
oligodendrocytes 3,854.0,0.111,73.0,76,2,2.63,1.99 (-1.51-5.49),74,97.37,2.80 (2.47-3.13)
oligodendrocytes 2,804.0,0.106,6.0,84,6,7.14,1.83 (0.73-2.93),78,92.86,2.77 (2.43-3.12)
