tipo_celular,module_size,ZNF254_MM,ZNF254_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,401.0,0.124,24.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24)
T cells 18,282.0,0.149,29.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42)
astrocytes 5,932.0,0.127,75.0,80,2,2.5,4.37 (4.37-4.37),78,97.5,3.65 (3.23-4.07)
oligodendrocyte progenitor cells 7,4285.0,0.174,95.0,353,41,11.61,1.90 (1.57-2.23),312,88.39,4.24 (4.07-4.42)
GABA neurons expressing GLU receptors 22,1069.0,0.115,17.0,37,5,13.51,2.19 (1.75-2.64),32,86.49,2.15 (1.61-2.69)
GLU like neurons 17,1247.0,0.158,67.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,853.0,0.116,38.0,133,48,36.09,2.31 (1.96-2.65),85,63.91,3.95 (3.55-4.36)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.124,47.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,330.0,0.171,51.0,36,13,36.11,2.01 (1.64-2.38),23,63.89,1.86 (1.34-2.39)
GABA like neurons 14,3052.0,0.201,92.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,1266.0,0.144,86.0,66,10,15.15,1.45 (0.58-2.32),56,84.85,3.60 (3.20-4.00)
oligodendrocyte progenitor cells 12,3303.0,0.082,54.0,276,29,10.51,1.75 (1.50-2.00),247,89.49,3.83 (3.61-4.05)
oligodendrocytes 10,2107.0,0.158,55.0,358,49,13.69,2.06 (1.71-2.41),309,86.31,4.27 (4.09-4.45)
connective tissue cells 21,95.0,0.226,21.0,4,0,0.0,NA,4,100.0,3.47 (2.36-4.59)
astrocytes 15,458.0,0.073,36.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85)
oligodendrocytes 16,94.0,0.116,4.0,5,0,0.0,NA,5,100.0,2.89 (1.71-4.06)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,190.0,0.253,42.0,7,0,0.0,NA,7,100.0,4.84 (3.75-5.92)
astrocytes 4,201.0,0.128,15.0,18,0,0.0,NA,18,100.0,4.54 (3.65-5.42)
oligodendrocytes 0,1186.0,0.147,54.0,300,7,2.33,3.84 (3.25-4.43),293,97.67,3.79 (3.58-4.00)
microglia 1,1615.0,0.134,80.0,161,38,23.6,1.81 (1.48-2.15),123,76.4,3.86 (3.59-4.14)
oligodendrocytes 3,854.0,0.1,61.0,76,3,3.95,1.00 (0.20-1.79),73,96.05,2.86 (2.53-3.19)
oligodendrocytes 2,407.0,0.163,59.0,122,46,37.7,2.17 (1.81-2.53),76,62.3,4.40 (3.89-4.91)
