tipo_celular,module_size,WWC2_MM,WWC2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,206.0,0.129,8.0,10,0,0.0,NA,10,100.0,1.83 (0.82-2.85)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1141.0,0.114,26.0,166,25,15.06,2.27 (1.81-2.72),141,84.94,3.64 (3.37-3.91)
oligodendrocyte progenitor cells 7,4285.0,0.166,91.0,353,39,11.05,2.17 (1.83-2.50),314,88.95,4.17 (3.98-4.36)
GABA neurons expressing GLU receptors 22,599.0,0.193,41.0,22,1,4.55,0.94 (NA-NA),21,95.45,2.31 (1.48-3.13)
GLU like neurons 17,489.0,0.093,20.0,42,0,0.0,NA,42,100.0,5.99 (5.44-6.55)
da like neurons 11,87.0,0.228,33.0,3,0,0.0,NA,3,100.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,658.0,0.302,79.0,120,23,19.17,3.58 (3.12-4.03),97,80.83,4.90 (4.54-5.26)
oligodendrocytes 20,358.0,0.258,85.0,31,0,0.0,NA,31,100.0,2.36 (1.93-2.79)
GABA like neurons 14,3052.0,0.159,67.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,727.0,0.18,84.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,708.0,0.065,21.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99)
oligodendrocytes 10,2107.0,0.229,77.0,358,46,12.85,2.29 (1.93-2.65),312,87.15,4.18 (3.99-4.38)
connective tissue cells 21,84.0,0.257,52.0,4,0,0.0,NA,4,100.0,4.34 (4.07-4.60)
astrocytes 15,1401.0,0.055,21.0,96,2,2.08,2.76 (0.97-4.55),94,97.92,3.63 (3.18-4.09)
oligodendrocytes 16,81.0,0.279,93.0,3,0,0.0,NA,3,100.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,229.0,0.227,25.0,99,5,5.05,3.50 (2.44-4.55),94,94.95,4.35 (4.00-4.69)
astrocytes 4,787.0,0.165,74.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,1186.0,0.13,28.0,300,16,5.33,3.86 (3.49-4.22),284,94.67,3.79 (3.57-4.01)
microglia 1,813.0,0.11,43.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50)
oligodendrocytes 3,854.0,0.077,34.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14)
oligodendrocytes 2,804.0,0.178,76.0,84,4,4.76,0.66 (0.21-1.11),80,95.24,2.78 (2.45-3.12)
