tipo_celular,module_size,PAXX_MM,PAXX_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,506.0,0.242,65.0,225,4,1.78,1.49 (0.80-2.18),221,98.22,3.66 (3.41-3.91)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,916.0,0.211,51.0,302,1,0.33,0.21 (NA-NA),301,99.67,4.00 (3.77-4.22)
oligodendrocytes 20,938.0,0.222,85.0,169,3,1.78,0.38 (0.04-0.71),166,98.22,3.53 (3.31-3.74)
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,483.0,0.102,44.0,129,0,0.0,NA,129,100.0,3.43 (3.04-3.82)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,116.0,0.272,90.0,3,0,0.0,NA,3,100.0,0.40 (0.12-0.68)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,110.0,0.411,91.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,546.0,0.15,39.0,252,14,5.56,1.08 (0.64-1.52),238,94.44,4.31 (4.08-4.55)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,303.0,0.105,35.0,154,0,0.0,NA,154,100.0,3.62 (3.30-3.94)
oligodendrocytes 2,526.0,0.269,52.0,213,0,0.0,NA,213,100.0,3.98 (3.70-4.25)
