tipo_celular,module_size,TRIM44_MM,TRIM44_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,401,0.131,30.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24)
T cells 18,282,0.227,81.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42)
astrocytes 5,1141,0.1,13.0,166,43,25.9,2.56 (2.19-2.92),123,74.1,3.70 (3.40-4.00)
oligodendrocyte progenitor cells 7,448,0.124,35.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69)
GABA neurons expressing GLU receptors 22,599,0.14,16.0,22,1,4.55,0.94 (NA-NA),21,95.45,2.31 (1.48-3.13)
GLU like neurons 17,685,0.077,14.0,135,36,26.67,2.48 (2.10-2.85),99,73.33,3.50 (3.11-3.89)
da like neurons 11,408,0.082,13.0,25,5,20.0,0.98 (0.44-1.52),20,80.0,5.82 (4.60-7.04)
GABA neurons expressing GABA receptors 13,238,0.178,58.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40)
endothelial cells 9,1653,0.11,36.0,297,13,4.38,4.06 (3.15-4.97),284,95.62,3.66 (3.46-3.87)
oligodendrocytes 20,295,0.092,15.0,28,5,17.86,2.24 (1.83-2.64),23,82.14,2.18 (1.61-2.74)
GABA like neurons 14,1300,0.117,12.0,306,19,6.21,2.39 (1.90-2.88),287,93.79,5.35 (5.10-5.61)
astrocytes 8,1266,0.05,15.0,66,11,16.67,2.53 (1.80-3.25),55,83.33,3.39 (2.91-3.87)
oligodendrocyte progenitor cells 12,143,0.437,55.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA)
oligodendrocytes 10,1277,0.063,19.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,106,0.201,10.0,4,0,0.0,NA,4,100.0,4.98 (4.91-5.06)
astrocytes 15,1768,0.083,47.0,105,16,15.24,1.77 (1.31-2.23),89,84.76,3.50 (3.14-3.86)
oligodendrocytes 16,199,0.164,47.0,3,0,0.0,NA,3,100.0,5.28 (1.90-8.66)
da neurons 6,553,0.24,91.0,124,11,8.87,3.99 (3.05-4.93),113,91.13,4.20 (3.78-4.61)
astrocytes microglia 23,253,0.167,6.0,47,8,17.02,2.16 (1.58-2.73),39,82.98,2.96 (2.60-3.32)
astrocytes 4,201,0.123,12.0,18,7,38.89,3.50 (3.01-3.98),11,61.11,5.16 (3.91-6.41)
oligodendrocytes 0,187,0.149,39.0,14,1,7.14,NA,13,92.86,5.53 (4.92-6.14)
microglia 1,813,0.13,64.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50)
oligodendrocytes 3,854,0.108,70.0,76,4,5.26,2.11 (0.24-3.98),72,94.74,2.81 (2.48-3.14)
oligodendrocytes 2,804,0.169,69.0,84,20,23.81,2.95 (2.09-3.81),64,76.19,2.62 (2.26-2.99)
