tipo_celular,module_size,WDR25_MM,WDR25_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.116,50.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48)
oligodendrocyte progenitor cells 7,4285.0,0.121,28.0,353,2,0.57,1.25 (-0.12-2.62),351,99.43,3.91 (3.72-4.09)
GABA neurons expressing GLU receptors 22,703.0,0.025,0.0,23,0,0.0,NA,23,100.0,2.09 (1.38-2.80)
GLU like neurons 17,1247.0,0.136,51.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,89.0,0.096,16.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,330.0,0.279,84.0,36,0,0.0,NA,36,100.0,1.92 (1.57-2.27)
GABA like neurons 14,2090.0,0.222,88.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,1266.0,0.039,6.0,66,0,0.0,NA,66,100.0,3.23 (2.81-3.65)
oligodendrocyte progenitor cells 12,3303.0,0.053,19.0,276,2,0.72,1.25 (-0.12-2.62),274,99.28,3.56 (3.35-3.78)
oligodendrocytes 10,1277.0,0.042,7.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,250.0,0.121,1.0,117,0,0.0,NA,117,100.0,5.37 (4.97-5.77)
astrocytes 15,1401.0,0.066,31.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06)
oligodendrocytes 16,90.0,0.225,65.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,135.0,0.358,77.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.135,32.0,104,2,1.92,1.25 (-0.12-2.62),102,98.08,2.90 (2.61-3.18)
oligodendrocytes 0,2078.0,0.099,20.0,238,0,0.0,NA,238,100.0,3.64 (3.42-3.86)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,854.0,0.069,25.0,76,0,0.0,NA,76,100.0,2.78 (2.45-3.11)
oligodendrocytes 2,1630.0,0.11,6.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
