tipo_celular,module_size,ZC2HC1A_MM,ZC2HC1A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,401.0,0.107,15.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1141.0,0.15,75.0,166,1,0.6,0.55 (NA-NA),165,99.4,3.41 (3.16-3.66)
oligodendrocyte progenitor cells 7,4285.0,0.141,59.0,353,2,0.57,1.25 (-0.12-2.62),351,99.43,3.91 (3.72-4.09)
GABA neurons expressing GLU receptors 22,1069.0,0.18,61.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,795.0,0.084,20.0,80,0,0.0,NA,80,100.0,5.68 (5.27-6.09)
da like neurons 11,197.0,0.204,55.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,77.0,0.214,73.0,8,0,0.0,NA,8,100.0,3.16 (2.15-4.16)
endothelial cells 9,338.0,0.115,43.0,191,0,0.0,NA,191,100.0,3.88 (3.66-4.11)
oligodendrocytes 20,403.0,0.04,9.0,18,0,0.0,NA,18,100.0,1.88 (1.20-2.56)
GABA like neurons 14,3052.0,0.268,100.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,727.0,0.095,41.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,3303.0,0.068,36.0,276,2,0.72,1.25 (-0.12-2.62),274,99.28,3.56 (3.35-3.78)
oligodendrocytes 10,806.0,0.061,11.0,261,0,0.0,NA,261,100.0,4.36 (4.12-4.61)
connective tissue cells 21,101.0,0.281,57.0,1,0,0.0,NA,1,100.0,8.28 (NA-NA)
astrocytes 15,1768.0,0.095,57.0,105,2,1.9,1.25 (-0.12-2.62),103,98.1,3.25 (2.92-3.59)
oligodendrocytes 16,199.0,0.139,24.0,3,0,0.0,NA,3,100.0,5.28 (1.90-8.66)
da neurons 6,448.0,0.112,63.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80)
astrocytes microglia 23,76.0,0.26,22.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,752.0,0.137,27.0,96,0,0.0,NA,96,100.0,3.29 (2.96-3.62)
oligodendrocytes 0,2078.0,0.125,73.0,238,0,0.0,NA,238,100.0,3.64 (3.42-3.86)
microglia 1,346.0,0.121,30.0,43,0,0.0,NA,43,100.0,3.77 (3.26-4.27)
oligodendrocytes 3,94.0,0.075,39.0,7,0,0.0,NA,7,100.0,5.62 (2.52-8.73)
oligodendrocytes 2,347.0,0.201,54.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63)
