tipo_celular,module_size,SUDS3_MM,SUDS3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,518.0,0.172,62.0,131,6,4.58,3.54 (2.63-4.45),125,95.42,3.05 (2.76-3.33)
astrocytes 5,1656.0,0.121,60.0,136,4,2.94,1.58 (1.21-1.95),132,97.06,3.26 (2.99-3.54)
oligodendrocyte progenitor cells 7,4285.0,0.114,21.0,353,65,18.41,2.27 (1.97-2.58),288,81.59,4.38 (4.20-4.56)
GABA neurons expressing GLU receptors 22,823.0,0.179,50.0,23,3,13.04,2.11 (-0.05-4.28),20,86.96,2.43 (1.64-3.22)
GLU like neurons 17,685.0,0.066,9.0,135,26,19.26,1.92 (1.54-2.31),109,80.74,3.55 (3.20-3.89)
da like neurons 11,265.0,0.121,22.0,4,0,0.0,NA,4,100.0,1.89 (0.29-3.49)
GABA neurons expressing GABA receptors 13,266.0,0.099,13.0,118,0,0.0,NA,118,100.0,4.74 (4.38-5.09)
endothelial cells 9,916.0,0.078,7.0,302,2,0.66,0.97 (-0.53-2.46),300,99.34,4.01 (3.78-4.23)
oligodendrocytes 20,275.0,0.325,84.0,17,0,0.0,NA,17,100.0,1.72 (1.15-2.29)
GABA like neurons 14,2402.0,0.138,21.0,455,24,5.27,1.62 (0.95-2.29),431,94.73,4.54 (4.36-4.71)
astrocytes 8,260.0,0.123,50.0,4,2,50.0,1.10 (-0.55-2.76),2,50.0,3.78 (NA-NA)
oligodendrocyte progenitor cells 12,1049.0,0.051,17.0,235,0,0.0,NA,235,100.0,3.82 (3.59-4.06)
oligodendrocytes 10,735.0,0.106,57.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14)
connective tissue cells 21,84.0,0.207,22.0,4,0,0.0,NA,4,100.0,4.34 (4.07-4.60)
astrocytes 15,1768.0,0.065,28.0,105,22,20.95,1.66 (1.32-2.00),83,79.05,3.64 (3.28-4.00)
oligodendrocytes 16,158.0,0.194,46.0,30,1,3.33,1.95 (NA-NA),29,96.67,2.35 (1.67-3.02)
da neurons 6,729.0,0.115,32.0,182,5,2.75,1.47 (1.37-1.56),177,97.25,3.71 (3.46-3.96)
astrocytes microglia 23,135.0,0.255,18.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.162,81.0,104,27,25.96,1.70 (1.37-2.03),77,74.04,3.29 (2.98-3.60)
oligodendrocytes 0,2078.0,0.131,84.0,238,15,6.3,2.75 (2.18-3.33),223,93.7,3.71 (3.48-3.94)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,1003.0,0.054,8.0,111,1,0.9,4.23 (NA-NA),110,99.1,3.29 (2.95-3.64)
oligodendrocytes 2,1630.0,0.153,73.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
