tipo_celular,module_size,MXD1_MM,MXD1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,518.0,0.211,80.0,131,4,3.05,3.00 (2.03-3.97),127,96.95,3.08 (2.79-3.36)
astrocytes 5,423.0,0.269,91.0,80,1,1.25,1.04 (NA-NA),79,98.75,3.44 (2.96-3.91)
oligodendrocyte progenitor cells 7,666.0,0.499,98.0,127,3,2.36,0.90 (0.75-1.04),124,97.64,3.94 (3.61-4.27)
GABA neurons expressing GLU receptors 22,599.0,0.121,10.0,22,1,4.55,0.94 (NA-NA),21,95.45,2.31 (1.48-3.13)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,120.0,0.064,6.0,1,0,0.0,NA,1,100.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,403.0,0.207,80.0,18,10,55.56,0.95 (0.48-1.41),8,44.44,3.04 (2.13-3.95)
GABA like neurons 14,3052.0,0.113,28.0,125,1,0.8,3.74 (NA-NA),124,99.2,3.35 (3.02-3.67)
astrocytes 8,577.0,0.255,97.0,83,4,4.82,2.10 (0.92-3.27),79,95.18,3.32 (2.86-3.79)
oligodendrocyte progenitor cells 12,3303.0,0.069,38.0,276,40,14.49,1.84 (1.62-2.06),236,85.51,3.94 (3.72-4.17)
oligodendrocytes 10,2107.0,0.106,31.0,358,65,18.16,2.10 (1.82-2.39),293,81.84,4.42 (4.24-4.60)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,367.0,0.248,94.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04)
oligodendrocytes 16,105.0,0.191,36.0,12,0,0.0,NA,12,100.0,2.24 (1.48-3.00)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,327.0,0.571,94.0,120,13,10.83,1.54 (0.99-2.08),107,89.17,3.93 (3.64-4.21)
astrocytes 4,514.0,0.374,94.0,95,4,4.21,1.14 (0.66-1.61),91,95.79,3.50 (3.07-3.92)
oligodendrocytes 0,2078.0,0.154,100.0,238,11,4.62,2.39 (1.82-2.97),227,95.38,3.71 (3.48-3.93)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,1003.0,0.093,47.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,1630.0,0.161,85.0,154,1,0.65,1.82 (NA-NA),153,99.35,3.26 (2.99-3.52)
