tipo_celular,module_size,ARRDC3_MM,ARRDC3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,518.0,0.118,24.0,131,0,0.0,NA,131,100.0,3.07 (2.80-3.35)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,666.0,0.144,31.0,127,22,17.32,2.92 (2.34-3.49),105,82.68,4.15 (3.77-4.53)
GABA neurons expressing GLU receptors 22,192.0,0.102,27.0,55,0,0.0,NA,55,100.0,4.03 (3.61-4.44)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,658.0,0.213,55.0,120,17,14.17,2.82 (2.48-3.16),103,85.83,4.95 (4.63-5.28)
oligodendrocytes 20,250.0,0.137,27.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62)
GABA like neurons 14,2402.0,0.047,1.0,455,32,7.03,2.90 (2.26-3.53),423,92.97,4.49 (4.31-4.68)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.075,46.0,276,30,10.87,2.60 (2.13-3.07),246,89.13,3.70 (3.46-3.93)
oligodendrocytes 10,735.0,0.025,2.0,277,3,1.08,5.47 (4.75-6.19),274,98.92,3.87 (3.63-4.11)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,158.0,0.171,30.0,30,2,6.67,1.95 (NA-NA),28,93.33,2.35 (1.67-3.02)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,134.0,0.354,71.0,2,0,0.0,NA,2,100.0,2.08 (-0.39-4.55)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,1186.0,0.198,98.0,300,8,2.67,3.20 (2.67-3.73),292,97.33,3.81 (3.60-4.02)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,1003.0,0.089,43.0,111,1,0.9,2.71 (NA-NA),110,99.1,3.31 (2.96-3.65)
oligodendrocytes 2,921.0,0.164,87.0,200,6,3.0,3.02 (2.18-3.87),194,97.0,3.64 (3.37-3.92)
