tipo_celular,module_size,TRIM4_MM,TRIM4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,211.0,0.138,37.0,47,2,4.26,3.93 (2.95-4.91),45,95.74,2.51 (2.01-3.01)
T cells 18,518.0,0.111,20.0,131,2,1.53,2.25 (NA-NA),129,98.47,3.08 (2.80-3.36)
astrocytes 5,1656.0,0.156,97.0,136,4,2.94,1.54 (1.26-1.82),132,97.06,3.27 (2.99-3.54)
oligodendrocyte progenitor cells 7,4285.0,0.166,91.0,353,33,9.35,2.26 (1.75-2.77),320,90.65,4.08 (3.89-4.26)
GABA neurons expressing GLU receptors 22,1069.0,0.122,20.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,1247.0,0.085,16.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,109.0,0.219,50.0,1,0,0.0,NA,1,100.0,1.71 (NA-NA)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,586.0,0.079,11.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49)
oligodendrocytes 20,221.0,0.346,86.0,12,0,0.0,NA,12,100.0,2.42 (0.83-4.00)
GABA like neurons 14,3052.0,0.134,45.0,125,5,4.0,3.28 (2.73-3.82),120,96.0,3.35 (3.02-3.68)
astrocytes 8,283.0,0.088,21.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.068,36.0,276,30,10.87,2.25 (1.72-2.79),246,89.13,3.71 (3.48-3.93)
oligodendrocytes 10,2107.0,0.11,33.0,358,36,10.06,2.13 (1.65-2.61),322,89.94,4.09 (3.90-4.28)
connective tissue cells 21,111.0,0.349,77.0,26,8,30.77,2.92 (2.29-3.55),18,69.23,2.45 (1.69-3.22)
astrocytes 15,1768.0,0.014,1.0,105,14,13.33,1.65 (1.16-2.14),91,86.67,3.48 (3.12-3.83)
oligodendrocytes 16,158.0,0.342,96.0,30,1,3.33,1.95 (NA-NA),29,96.67,2.35 (1.67-3.02)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,122.0,0.317,59.0,5,0,0.0,NA,5,100.0,1.94 (-0.80-4.68)
astrocytes 4,1807.0,0.18,97.0,104,16,15.38,1.85 (1.34-2.36),88,84.62,3.06 (2.76-3.37)
oligodendrocytes 0,2078.0,0.145,96.0,238,15,6.3,3.24 (2.46-4.02),223,93.7,3.66 (3.43-3.89)
microglia 1,1615.0,0.109,49.0,161,32,19.88,2.27 (1.75-2.80),129,80.12,3.53 (3.24-3.82)
oligodendrocytes 3,681.0,0.066,22.0,87,15,17.24,1.70 (1.32-2.08),72,82.76,2.79 (2.48-3.09)
oligodendrocytes 2,1630.0,0.161,87.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
