tipo_celular,module_size,LAMTOR1_MM,LAMTOR1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,305.0,0.118,19.0,15,0,0.0,NA,15,100.0,5.79 (5.09-6.49)
T cells 18,506.0,0.077,5.0,225,28,12.44,3.13 (2.49-3.77),197,87.56,3.68 (3.41-3.95)
astrocytes 5,228.0,0.101,10.0,266,59,22.18,3.03 (2.64-3.42),207,77.82,4.47 (4.25-4.69)
oligodendrocyte progenitor cells 7,628.0,0.14,31.0,164,21,12.8,3.97 (3.48-4.45),143,87.2,4.11 (3.73-4.48)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.305,82.0,410,52,12.68,3.78 (3.36-4.21),358,87.32,4.32 (4.12-4.53)
GABA neurons expressing GABA receptors 13,417.0,0.099,8.0,213,28,13.15,2.14 (1.48-2.79),185,86.85,4.02 (3.78-4.26)
endothelial cells 9,916.0,0.297,70.0,302,12,3.97,2.52 (1.59-3.45),290,96.03,4.04 (3.81-4.27)
oligodendrocytes 20,938.0,0.296,94.0,169,29,17.16,3.03 (2.53-3.52),140,82.84,3.56 (3.32-3.80)
GABA like neurons 14,2402.0,0.487,87.0,455,59,12.97,3.30 (2.83-3.77),396,87.03,4.53 (4.33-4.73)
astrocytes 8,520.0,0.102,43.0,288,54,18.75,3.48 (3.11-3.85),234,81.25,4.34 (4.11-4.57)
oligodendrocyte progenitor cells 12,1049.0,0.115,62.0,235,21,8.94,3.66 (3.25-4.07),214,91.06,3.84 (3.59-4.09)
oligodendrocytes 10,735.0,0.2,89.0,277,2,0.72,6.69 (6.29-7.09),275,99.28,3.87 (3.62-4.11)
connective tissue cells 21,106.0,0.471,100.0,9,7,77.78,3.79 (0.33-7.25),2,22.22,3.72 (-1.71-9.15)
astrocytes 15,377.0,0.155,52.0,14,4,28.57,0.49 (0.40-0.58),10,71.43,2.84 (1.34-4.34)
oligodendrocytes 16,116.0,0.249,85.0,3,0,0.0,NA,3,100.0,0.40 (0.12-0.68)
da neurons 6,729.0,0.205,74.0,182,0,0.0,NA,182,100.0,3.64 (3.38-3.89)
astrocytes microglia 23,96.0,0.35,69.0,1,0,0.0,NA,1,100.0,0.39 (NA-NA)
astrocytes 4,1807.0,0.103,3.0,104,17,16.35,2.47 (1.74-3.21),87,83.65,2.95 (2.64-3.25)
oligodendrocytes 0,546.0,0.177,54.0,252,42,16.67,2.99 (2.34-3.64),210,83.33,4.32 (4.07-4.58)
microglia 1,406.0,0.148,37.0,278,9,3.24,4.36 (3.12-5.60),269,96.76,4.36 (4.08-4.64)
oligodendrocytes 3,457.0,0.088,33.0,345,62,17.97,3.82 (3.48-4.17),283,82.03,4.39 (4.15-4.64)
oligodendrocytes 2,526.0,0.345,74.0,213,2,0.94,NA,211,99.06,3.98 (3.70-4.25)
