tipo_celular,module_size,NDE1_MM,NDE1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,352.0,0.198,60.0,73,1,1.37,NA,72,98.63,3.56 (3.22-3.91)
T cells 18,282.0,0.176,50.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,450.0,0.14,27.0,74,8,10.81,4.37 (3.47-5.27),66,89.19,5.65 (5.03-6.26)
oligodendrocytes 20,938.0,0.126,50.0,169,6,3.55,1.80 (0.85-2.76),163,96.45,3.56 (3.34-3.77)
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,1277.0,0.21,93.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,86.0,0.321,76.0,7,0,0.0,NA,7,100.0,3.20 (2.46-3.95)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,113.0,0.211,81.0,11,0,0.0,NA,11,100.0,1.74 (0.78-2.71)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,140.0,0.364,80.0,1,0,0.0,NA,1,100.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,187.0,0.113,16.0,14,1,7.14,5.34 (NA-NA),13,92.86,5.54 (4.88-6.21)
microglia 1,1615.0,0.108,48.0,161,15,9.32,1.62 (0.95-2.29),146,90.68,3.47 (3.20-3.74)
oligodendrocytes 3,242.0,0.149,60.0,6,0,0.0,NA,6,100.0,5.99 (5.03-6.94)
oligodendrocytes 2,407.0,0.23,96.0,122,10,8.2,1.48 (0.81-2.15),112,91.8,3.55 (3.15-3.95)
