tipo_celular,module_size,KATNAL2_MM,KATNAL2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500.0,0.214,73.0,32,0,0.0,NA,32,100.0,3.72 (2.95-4.50)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1141.0,0.127,43.0,166,5,3.01,0.97 (0.29-1.66),161,96.99,3.46 (3.21-3.71)
oligodendrocyte progenitor cells 7,4285.0,0.119,26.0,353,15,4.25,1.35 (0.75-1.95),338,95.75,4.03 (3.85-4.21)
GABA neurons expressing GLU receptors 22,567.0,0.131,20.0,16,3,18.75,2.91 (1.29-4.54),13,81.25,1.72 (1.02-2.41)
GLU like neurons 17,1247.0,0.266,96.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,209.0,0.325,82.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,279.0,0.438,95.0,16,1,6.25,4.17 (NA-NA),15,93.75,2.26 (1.50-3.01)
GABA like neurons 14,2090.0,0.174,64.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,140.0,0.319,95.0,1,0,0.0,NA,1,100.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.149,99.0,276,7,2.54,1.83 (0.68-2.98),269,97.46,3.59 (3.37-3.81)
oligodendrocytes 10,1277.0,0.112,52.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,106.0,0.32,78.0,2,0,0.0,NA,2,100.0,4.57 (NA-NA)
astrocytes 15,377.0,0.083,10.0,14,5,35.71,3.57 (1.46-5.68),9,64.29,1.18 (0.12-2.24)
oligodendrocytes 16,69.0,0.332,98.0,1,0,0.0,NA,1,100.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,166.0,0.316,62.0,7,0,0.0,NA,7,100.0,4.32 (3.39-5.25)
astrocytes 4,752.0,0.15,45.0,96,5,5.21,3.21 (1.34-5.09),91,94.79,3.29 (2.96-3.63)
oligodendrocytes 0,309.0,0.109,23.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69)
microglia 1,1615.0,0.078,8.0,161,9,5.59,0.86 (0.37-1.34),152,94.41,3.45 (3.19-3.71)
oligodendrocytes 3,639.0,0.112,63.0,15,5,33.33,0.85 (0.13-1.56),10,66.67,4.86 (3.58-6.13)
oligodendrocytes 2,804.0,0.181,78.0,84,9,10.71,2.06 (0.96-3.17),75,89.29,2.77 (2.42-3.12)
