tipo_celular,module_size,SLC6A8_MM,SLC6A8_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,423.0,0.066,1.0,80,3,3.75,4.78 (4.78-4.78),77,96.25,3.34 (2.85-3.83)
oligodendrocyte progenitor cells 7,666.0,0.183,63.0,127,3,2.36,3.00 (1.18-4.83),124,97.64,3.86 (3.52-4.21)
GABA neurons expressing GLU receptors 22,567.0,0.13,19.0,16,0,0.0,NA,16,100.0,1.97 (1.30-2.64)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,250.0,0.115,21.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62)
GABA like neurons 14,2402.0,0.142,22.0,455,5,1.1,2.93 (1.80-4.05),450,98.9,4.36 (4.18-4.55)
astrocytes 8,603.0,0.072,46.0,89,1,1.12,0.82 (NA-NA),88,98.88,2.79 (2.44-3.14)
oligodendrocyte progenitor cells 12,708.0,0.122,55.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99)
oligodendrocytes 10,1277.0,0.081,31.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,443.0,0.179,71.0,9,0,0.0,NA,9,100.0,3.27 (1.98-4.55)
oligodendrocytes 16,65.0,0.266,83.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,112.0,0.317,48.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.12,12.0,104,2,1.92,0.51 (-0.09-1.11),102,98.08,2.91 (2.63-3.19)
oligodendrocytes 0,613.0,0.154,60.0,127,1,0.79,3.87 (NA-NA),126,99.21,3.04 (2.62-3.46)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,743.0,0.116,83.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,528.0,0.22,60.0,175,3,1.71,1.81 (1.30-2.32),172,98.29,4.45 (4.10-4.80)
