tipo_celular,module_size,IFT122_MM,IFT122_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,932.0,0.081,10.0,80,2,2.5,NA,78,97.5,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,4285.0,0.12,28.0,353,36,10.2,2.54 (2.03-3.06),317,89.8,4.07 (3.88-4.26)
GABA neurons expressing GLU receptors 22,1069.0,0.217,83.0,37,1,2.7,2.74 (NA-NA),36,97.3,2.14 (1.67-2.60)
GLU like neurons 17,489.0,0.052,4.0,42,6,14.29,4.35 (4.09-4.61),36,85.71,6.32 (5.73-6.91)
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,3052.0,0.083,9.0,125,8,6.4,4.34 (3.93-4.76),117,93.6,3.31 (2.98-3.64)
astrocytes 8,354.0,0.125,52.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47)
oligodendrocyte progenitor cells 12,3303.0,0.057,23.0,276,25,9.06,2.87 (2.27-3.47),251,90.94,3.62 (3.39-3.86)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,101.0,0.351,82.0,1,0,0.0,NA,1,100.0,8.28 (NA-NA)
astrocytes 15,418.0,0.075,41.0,54,7,12.96,3.42 (2.53-4.32),47,87.04,3.72 (3.23-4.21)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,121.0,0.243,10.0,1,0,0.0,NA,1,100.0,6.31 (NA-NA)
astrocytes 4,721.0,0.153,52.0,61,3,4.92,2.12 (1.37-2.87),58,95.08,3.01 (2.58-3.44)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
