tipo_celular,module_size,NSMF_MM,NSMF_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,117.0,0.137,38.0,28,14,50.0,4.76 (4.05-5.46),14,50.0,6.01 (5.17-6.85)
oligodendrocyte progenitor cells 7,200.0,0.121,23.0,16,1,6.25,2.43 (NA-NA),15,93.75,4.04 (3.20-4.89)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,215.0,0.131,27.0,9,0,0.0,NA,9,100.0,0.85 (0.17-1.52)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2090.0,0.169,60.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,1266.0,0.14,85.0,66,27,40.91,2.57 (1.93-3.22),39,59.09,3.81 (3.35-4.28)
oligodendrocyte progenitor cells 12,3303.0,0.052,17.0,276,17,6.16,2.05 (1.58-2.52),259,93.84,3.66 (3.44-3.89)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,106.0,0.283,51.0,4,0,0.0,NA,4,100.0,4.98 (4.91-5.06)
astrocytes 15,1401.0,0.065,30.0,96,12,12.5,4.01 (2.80-5.22),84,87.5,3.54 (3.06-4.03)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,553.0,0.103,30.0,124,3,2.42,3.06 (-0.60-6.73),121,97.58,4.22 (3.83-4.61)
astrocytes microglia 23,141.0,0.255,56.0,30,19,63.33,5.82 (4.73-6.91),11,36.67,5.24 (3.68-6.79)
astrocytes 4,251.0,0.215,82.0,34,3,8.82,2.42 (2.37-2.47),31,91.18,5.49 (4.93-6.06)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
