tipo_celular,module_size,NCS1_MM,NCS1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,932.0,0.098,35.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,1069.0,0.076,4.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,1316.0,0.137,62.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40)
da like neurons 11,853.0,0.132,52.0,133,6,4.51,0.91 (-0.07-1.90),127,95.49,3.39 (3.08-3.69)
GABA neurons expressing GABA receptors 13,238.0,0.234,79.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2402.0,0.174,33.0,455,8,1.76,0.78 (0.25-1.31),447,98.24,4.43 (4.25-4.61)
astrocytes 8,1266.0,0.075,42.0,66,19,28.79,2.74 (1.85-3.62),47,71.21,3.47 (3.04-3.91)
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1401.0,0.075,40.0,96,7,7.29,5.26 (3.96-6.56),89,92.71,3.45 (2.99-3.91)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,553.0,0.231,90.0,124,1,0.81,0.40 (NA-NA),123,99.19,4.23 (3.84-4.61)
astrocytes microglia 23,125.0,0.295,38.0,6,0,0.0,NA,6,100.0,2.99 (2.22-3.77)
astrocytes 4,721.0,0.178,90.0,61,2,3.28,1.74 (1.73-1.75),59,96.72,3.01 (2.59-3.43)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
