tipo_celular,module_size,RBM10_MM,RBM10_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,624.0,0.086,7.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48)
astrocytes 5,932.0,0.101,39.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,4285.0,0.129,40.0,353,38,10.76,1.78 (1.44-2.13),315,89.24,4.21 (4.03-4.39)
GABA neurons expressing GLU receptors 22,1069.0,0.135,26.0,37,4,10.81,2.23 (1.51-2.95),33,89.19,2.15 (1.63-2.66)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,853.0,0.092,20.0,133,30,22.56,1.78 (1.41-2.15),103,77.44,3.76 (3.42-4.10)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,385.0,0.085,28.0,275,37,13.45,1.83 (1.49-2.17),238,86.55,4.43 (4.17-4.69)
oligodendrocytes 20,403.0,0.142,58.0,18,10,55.56,1.17 (0.53-1.82),8,44.44,2.76 (1.71-3.80)
GABA like neurons 14,2090.0,0.175,64.0,74,7,9.46,1.86 (1.51-2.20),67,90.54,3.03 (2.64-3.43)
astrocytes 8,603.0,0.037,8.0,89,9,10.11,1.40 (1.01-1.78),80,89.89,2.98 (2.61-3.35)
oligodendrocyte progenitor cells 12,3303.0,0.092,66.0,276,27,9.78,1.84 (1.51-2.17),249,90.22,3.77 (3.55-3.99)
oligodendrocytes 10,130.0,0.018,0.0,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,102.0,0.299,49.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,443.0,0.264,96.0,9,0,0.0,NA,9,100.0,3.27 (1.98-4.55)
oligodendrocytes 16,113.0,0.196,44.0,10,0,0.0,NA,10,100.0,2.94 (2.13-3.75)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,161.0,0.325,64.0,7,0,0.0,NA,7,100.0,1.58 (0.74-2.41)
astrocytes 4,1807.0,0.129,24.0,104,28,26.92,1.68 (1.35-2.02),76,73.08,3.30 (2.99-3.61)
oligodendrocytes 0,2078.0,0.118,57.0,238,4,1.68,1.70 (0.57-2.84),234,98.32,3.68 (3.45-3.90)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,357.0,0.053,12.0,127,6,4.72,3.10 (2.94-3.25),121,95.28,3.12 (2.77-3.47)
oligodendrocytes 2,1630.0,0.146,58.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
