tipo_celular,module_size,ULK1_MM,ULK1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,932.0,0.133,80.0,80,2,2.5,3.48 (3.47-3.49),78,97.5,3.68 (3.26-4.10)
oligodendrocyte progenitor cells 7,4285.0,0.146,67.0,353,72,20.4,2.75 (2.35-3.16),281,79.6,4.24 (4.05-4.43)
GABA neurons expressing GLU receptors 22,400.0,0.245,76.0,24,22,91.67,2.08 (1.54-2.62),2,8.33,2.97 (1.79-4.16)
GLU like neurons 17,300.0,0.228,81.0,16,1,6.25,0.79 (NA-NA),15,93.75,2.18 (1.29-3.08)
da like neurons 11,265.0,0.1,12.0,4,2,50.0,2.68 (NA-NA),2,50.0,1.50 (-0.93-3.93)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,586.0,0.098,17.0,62,4,6.45,3.67 (2.12-5.21),58,93.55,4.08 (3.61-4.55)
oligodendrocytes 20,348.0,0.086,41.0,33,9,27.27,3.46 (3.04-3.89),24,72.73,2.42 (1.79-3.05)
GABA like neurons 14,2090.0,0.144,43.0,74,2,2.7,2.22 (1.63-2.82),72,97.3,2.96 (2.58-3.35)
astrocytes 8,260.0,0.116,46.0,4,3,75.0,1.10 (-0.55-2.76),1,25.0,3.78 (NA-NA)
oligodendrocyte progenitor cells 12,3303.0,0.064,32.0,276,48,17.39,2.68 (2.29-3.06),228,82.61,3.78 (3.53-4.02)
oligodendrocytes 10,735.0,0.029,3.0,277,1,0.36,NA,276,99.64,3.89 (3.65-4.14)
connective tissue cells 21,88.0,0.263,40.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1401.0,0.119,76.0,96,21,21.88,3.98 (3.20-4.76),75,78.12,3.50 (2.96-4.03)
oligodendrocytes 16,64.0,0.3,86.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,131.0,0.317,45.0,5,0,0.0,NA,5,100.0,0.46 (0.38-0.54)
astrocytes 4,721.0,0.154,54.0,61,4,6.56,2.61 (1.52-3.70),57,93.44,2.99 (2.56-3.43)
oligodendrocytes 0,2078.0,0.099,21.0,238,21,8.82,3.73 (2.80-4.66),217,91.18,3.63 (3.40-3.85)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,681.0,0.072,28.0,87,25,28.74,1.93 (1.50-2.35),62,71.26,2.86 (2.55-3.18)
oligodendrocytes 2,1630.0,0.125,20.0,154,2,1.3,1.97 (1.67-2.26),152,98.7,3.26 (3.00-3.53)
