tipo_celular,module_size,AK2_MM,AK2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,305.0,0.129,24.0,15,0,0.0,NA,15,100.0,5.79 (5.09-6.49)
T cells 18,610.0,0.094,11.0,98,17,17.35,1.52 (0.94-2.10),81,82.65,3.50 (3.20-3.81)
astrocytes 5,1656.0,0.103,30.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48)
oligodendrocyte progenitor cells 7,4285.0,0.149,70.0,353,21,5.95,1.56 (1.07-2.05),332,94.05,4.08 (3.91-4.26)
GABA neurons expressing GLU receptors 22,459.0,0.044,2.0,165,0,0.0,NA,165,100.0,5.06 (4.72-5.41)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,200.0,0.099,12.0,8,2,25.0,NA,6,75.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,559.0,0.08,13.0,155,0,0.0,NA,155,100.0,4.34 (3.97-4.70)
oligodendrocytes 20,295.0,0.181,48.0,28,1,3.57,1.43 (NA-NA),27,96.43,2.22 (1.75-2.70)
GABA like neurons 14,3052.0,0.111,26.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,603.0,0.073,48.0,89,2,2.25,0.88 (0.76-1.00),87,97.75,2.82 (2.47-3.17)
oligodendrocyte progenitor cells 12,3303.0,0.048,13.0,276,13,4.71,2.07 (1.50-2.63),263,95.29,3.64 (3.42-3.86)
oligodendrocytes 10,483.0,0.155,63.0,129,2,1.55,4.11 (3.81-4.41),127,98.45,3.41 (3.02-3.81)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1401.0,0.062,27.0,96,1,1.04,4.07 (NA-NA),95,98.96,3.61 (3.15-4.06)
oligodendrocytes 16,75.0,0.134,11.0,1,0,0.0,NA,1,100.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,161.0,0.321,52.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.142,46.0,104,12,11.54,1.54 (1.04-2.05),92,88.46,3.05 (2.76-3.34)
oligodendrocytes 0,2078.0,0.106,33.0,238,4,1.68,1.71 (0.59-2.83),234,98.32,3.68 (3.45-3.90)
microglia 1,813.0,0.083,10.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50)
oligodendrocytes 3,743.0,0.051,10.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,1630.0,0.155,77.0,154,2,1.3,1.97 (1.67-2.26),152,98.7,3.26 (3.00-3.53)
