tipo_celular,module_size,PARP11_MM,PARP11_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,249.0,0.242,88.0,35,1,2.86,NA,34,97.14,3.74 (2.80-4.69)
T cells 18,727.0,0.235,96.0,49,2,4.08,2.98 (2.09-3.86),47,95.92,2.40 (1.99-2.81)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.177,96.0,353,30,8.5,1.90 (1.47-2.34),323,91.5,4.13 (3.95-4.31)
GABA neurons expressing GLU receptors 22,714.0,0.192,56.0,17,6,35.29,2.69 (2.26-3.13),11,64.71,2.10 (1.23-2.96)
GLU like neurons 17,300.0,0.209,69.0,16,5,31.25,2.70 (2.17-3.23),11,68.75,1.74 (0.48-3.00)
da like neurons 11,265.0,0.093,11.0,4,1,25.0,2.68 (NA-NA),3,75.0,1.50 (-0.93-3.93)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.156,71.0,297,3,1.01,3.37 (2.44-4.31),294,98.99,3.68 (3.47-3.88)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,3052.0,0.176,80.0,125,1,0.8,3.00 (NA-NA),124,99.2,3.36 (3.03-3.68)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,708.0,0.087,38.0,32,7,21.88,0.94 (-0.08-1.95),25,78.12,3.87 (3.06-4.69)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,110.0,0.329,79.0,13,4,30.77,2.68 (1.54-3.82),9,69.23,3.31 (2.21-4.41)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,80.0,0.291,26.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,346.0,0.095,11.0,43,0,0.0,NA,43,100.0,3.77 (3.26-4.27)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
