tipo_celular,module_size,TSPAN3_MM,TSPAN3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,401,0.096,9.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24)
T cells 18,393,0.126,31.0,59,0,0.0,NA,59,100.0,3.10 (2.60-3.61)
astrocytes 5,1141,0.137,59.0,166,0,0.0,NA,166,100.0,3.39 (3.14-3.64)
oligodendrocyte progenitor cells 7,628,0.155,42.0,164,2,1.22,4.11 (3.81-4.41),162,98.78,4.08 (3.75-4.42)
GABA neurons expressing GLU receptors 22,203,0.226,36.0,12,0,0.0,NA,12,100.0,2.44 (0.91-3.97)
GLU like neurons 17,489,0.16,62.0,42,0,0.0,NA,42,100.0,5.99 (5.44-6.55)
da like neurons 11,1220,0.145,36.0,410,7,1.71,3.80 (3.17-4.43),403,98.29,4.25 (4.06-4.44)
GABA neurons expressing GABA receptors 13,357,0.133,34.0,237,0,0.0,NA,237,100.0,4.41 (4.18-4.64)
endothelial cells 9,586,0.079,11.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49)
oligodendrocytes 20,250,0.146,31.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62)
GABA like neurons 14,2402,0.181,35.0,455,9,1.98,2.46 (0.82-4.11),446,98.02,4.37 (4.18-4.56)
astrocytes 8,520,0.118,51.0,288,7,2.43,3.80 (3.17-4.43),281,97.57,4.18 (3.97-4.38)
oligodendrocyte progenitor cells 12,3303,0.067,35.0,276,0,0.0,NA,276,100.0,3.54 (3.32-3.76)
oligodendrocytes 10,806,0.136,42.0,261,5,1.92,3.18 (NA-NA),256,98.08,4.37 (4.13-4.61)
connective tissue cells 21,125,0.291,47.0,10,0,0.0,NA,10,100.0,1.32 (0.64-1.99)
astrocytes 15,443,0.129,34.0,9,0,0.0,NA,9,100.0,3.27 (1.98-4.55)
oligodendrocytes 16,313,0.132,11.0,291,0,0.0,NA,291,100.0,4.33 (4.10-4.55)
da neurons 6,300,0.204,64.0,159,0,0.0,NA,159,100.0,4.36 (4.06-4.67)
astrocytes microglia 23,42,0.392,79.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,721,0.141,31.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38)
oligodendrocytes 0,613,0.128,35.0,127,0,0.0,NA,127,100.0,3.05 (2.64-3.46)
microglia 1,958,0.089,18.0,290,0,0.0,NA,290,100.0,3.81 (3.58-4.04)
oligodendrocytes 3,457,0.093,36.0,345,7,2.03,3.80 (3.17-4.43),338,97.97,4.28 (4.07-4.49)
oligodendrocytes 2,921,0.146,65.0,200,0,0.0,NA,200,100.0,3.62 (3.36-3.89)
