tipo_celular,module_size,RBM26_MM,RBM26_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,211,0.142,40.0,47,0,0.0,NA,47,100.0,2.59 (2.10-3.08)
T cells 18,727,0.205,89.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82)
astrocytes 5,1141,0.192,98.0,166,3,1.81,0.76 (0.35-1.17),163,98.19,3.45 (3.20-3.70)
oligodendrocyte progenitor cells 7,448,0.12,33.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69)
GABA neurons expressing GLU receptors 22,1069,0.125,21.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,1316,0.177,87.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40)
da like neurons 11,101,0.103,18.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,288,0.246,75.0,93,0,0.0,NA,93,100.0,5.15 (4.65-5.64)
endothelial cells 9,1653,0.168,78.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,221,0.138,24.0,12,0,0.0,NA,12,100.0,2.42 (0.83-4.00)
GABA like neurons 14,1300,0.159,27.0,306,1,0.33,1.95 (NA-NA),305,99.67,5.11 (4.84-5.37)
astrocytes 8,218,0.259,91.0,9,0,0.0,NA,9,100.0,2.12 (1.21-3.03)
oligodendrocyte progenitor cells 12,153,0.465,77.0,27,0,0.0,NA,27,100.0,4.76 (3.76-5.76)
oligodendrocytes 10,130,0.334,32.0,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,103,0.205,11.0,2,0,0.0,NA,2,100.0,3.59 (3.46-3.72)
astrocytes 15,1768,0.153,92.0,105,6,5.71,1.61 (0.88-2.34),99,94.29,3.32 (2.97-3.66)
oligodendrocytes 16,105,0.134,4.0,12,0,0.0,NA,12,100.0,2.24 (1.48-3.00)
da neurons 6,398,0.121,35.0,138,3,2.17,0.66 (0.13-1.19),135,97.83,4.93 (4.58-5.29)
astrocytes microglia 23,253,0.246,45.0,47,0,0.0,NA,47,100.0,2.84 (2.52-3.17)
astrocytes 4,752,0.2,98.0,96,0,0.0,NA,96,100.0,3.29 (2.96-3.62)
oligodendrocytes 0,1186,0.165,83.0,300,0,0.0,NA,300,100.0,3.79 (3.59-4.00)
microglia 1,813,0.117,51.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50)
oligodendrocytes 3,1003,0.117,69.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,804,0.14,35.0,84,0,0.0,NA,84,100.0,2.69 (2.35-3.02)
