tipo_celular,module_size,HEPH_MM,HEPH_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1141.0,0.134,53.0,166,2,1.2,1.54 (-0.40-3.47),164,98.8,3.42 (3.17-3.67)
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,676.0,0.018,2.0,110,1,0.91,NA,109,99.09,4.99 (4.54-5.44)
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,727.0,0.073,27.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,1277.0,0.113,53.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,116.0,0.228,18.0,2,0,0.0,NA,2,100.0,0.40 (0.12-0.68)
astrocytes 15,443.0,0.22,87.0,9,0,0.0,NA,9,100.0,3.27 (1.98-4.55)
oligodendrocytes 16,122.0,0.227,68.0,11,0,0.0,NA,11,100.0,3.57 (3.08-4.06)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,131.0,0.301,56.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,721.0,0.17,83.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38)
oligodendrocytes 0,479.0,0.176,68.0,40,0,0.0,NA,40,100.0,5.86 (5.35-6.38)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,639.0,0.191,91.0,15,1,6.67,2.53 (NA-NA),14,93.33,3.38 (1.90-4.86)
oligodendrocytes 2,348.0,0.168,36.0,114,2,1.75,2.53 (2.34-2.73),112,98.25,5.18 (4.77-5.59)
