tipo_celular,module_size,NRSN1_MM,NRSN1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,117.0,0.196,72.0,28,1,3.57,4.85 (NA-NA),27,96.43,5.33 (4.72-5.93)
oligodendrocyte progenitor cells 7,4285.0,0.122,30.0,353,9,2.55,0.87 (0.39-1.34),344,97.45,3.99 (3.81-4.17)
GABA neurons expressing GLU receptors 22,703.0,0.258,86.0,23,0,0.0,NA,23,100.0,2.09 (1.38-2.80)
GLU like neurons 17,300.0,0.204,66.0,16,0,0.0,NA,16,100.0,2.08 (1.23-2.93)
da like neurons 11,97.0,0.145,37.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,77.0,0.23,91.0,8,2,25.0,0.95 (NA-NA),6,75.0,3.60 (2.98-4.21)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2402.0,0.245,54.0,455,12,2.64,1.76 (0.78-2.75),443,97.36,4.44 (4.26-4.62)
astrocytes 8,262.0,0.094,25.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74)
oligodendrocyte progenitor cells 12,3303.0,0.078,49.0,276,3,1.09,1.58 (0.56-2.60),273,98.91,3.57 (3.35-3.79)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.104,67.0,105,3,2.86,1.58 (0.56-2.60),102,97.14,3.26 (2.93-3.60)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,448.0,0.186,93.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80)
astrocytes microglia 23,100.0,0.418,94.0,9,0,0.0,NA,9,100.0,3.95 (2.94-4.96)
astrocytes 4,220.0,0.256,89.0,63,7,11.11,3.52 (2.74-4.29),56,88.89,5.36 (4.76-5.96)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
