tipo_celular,module_size,NSG2_MM,NSG2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,436.0,0.158,68.0,219,6,2.74,5.45 (3.25-7.65),213,97.26,5.21 (4.92-5.50)
GABA neurons expressing GLU receptors 22,848.0,0.325,80.0,262,24,9.16,3.23 (2.55-3.91),238,90.84,4.28 (4.02-4.54)
GLU like neurons 17,1316.0,0.205,94.0,101,2,1.98,3.11 (2.60-3.63),99,98.02,3.05 (2.69-3.41)
da like neurons 11,1220.0,0.239,68.0,410,20,4.88,2.88 (2.49-3.26),390,95.12,4.35 (4.15-4.54)
GABA neurons expressing GABA receptors 13,265.0,0.251,84.0,78,12,15.38,3.18 (2.66-3.70),66,84.62,4.65 (4.19-5.12)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2402.0,0.292,64.0,455,30,6.59,2.86 (2.29-3.44),425,93.41,4.49 (4.30-4.68)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,143.0,0.49,90.0,1,1,100.0,7.70 (NA-NA),0,0.0,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,307.0,0.259,97.0,95,3,3.16,4.33 (3.51-5.15),92,96.84,4.87 (4.41-5.32)
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
