tipo_celular,module_size,TMEM230_MM,TMEM230_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,351,0.092,9.0,71,2,2.82,1.37 (-0.92-3.66),69,97.18,2.66 (2.25-3.08)
T cells 18,393,0.144,45.0,59,1,1.69,3.31 (NA-NA),58,98.31,3.10 (2.59-3.61)
astrocytes 5,932,0.083,12.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,4285,0.117,24.0,353,22,6.23,2.44 (1.70-3.19),331,93.77,4.02 (3.83-4.20)
GABA neurons expressing GLU receptors 22,567,0.174,43.0,16,2,12.5,2.34 (1.57-3.12),14,87.5,1.91 (1.13-2.69)
GLU like neurons 17,1247,0.096,22.0,51,3,5.88,2.04 (1.96-2.12),48,94.12,3.70 (3.11-4.30)
da like neurons 11,1220,0.147,37.0,410,14,3.41,3.00 (2.31-3.69),396,96.59,4.30 (4.11-4.50)
GABA neurons expressing GABA receptors 13,266,0.128,30.0,118,4,3.39,3.99 (3.14-4.85),114,96.61,4.77 (4.40-5.14)
endothelial cells 9,916,0.109,18.0,302,6,1.99,2.59 (1.32-3.87),296,98.01,4.01 (3.79-4.24)
oligodendrocytes 20,279,0.13,18.0,16,0,0.0,NA,16,100.0,2.38 (1.63-3.13)
GABA like neurons 14,2402,0.221,48.0,455,24,5.27,2.90 (2.10-3.69),431,94.73,4.45 (4.26-4.63)
astrocytes 8,1266,0.048,13.0,66,7,10.61,0.72 (0.26-1.17),59,89.39,3.58 (3.19-3.96)
oligodendrocyte progenitor cells 12,1049,0.066,31.0,235,6,2.55,3.81 (2.84-4.78),229,97.45,3.82 (3.59-4.06)
oligodendrocytes 10,806,0.124,36.0,261,17,6.51,3.59 (2.83-4.36),244,93.49,4.42 (4.17-4.67)
connective tissue cells 21,111,0.335,74.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,377,0.183,73.0,14,3,21.43,0.49 (0.40-0.58),11,78.57,2.84 (1.34-4.34)
oligodendrocytes 16,71,0.169,40.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA)
da neurons 6,553,0.071,5.0,124,5,4.03,3.41 (1.43-5.39),119,95.97,4.22 (3.82-4.62)
astrocytes microglia 23,92,0.322,53.0,11,0,0.0,NA,11,100.0,4.35 (3.80-4.91)
astrocytes 4,1807,0.125,17.0,104,8,7.69,2.16 (1.10-3.22),96,92.31,2.93 (2.64-3.22)
oligodendrocytes 0,2078,0.084,6.0,238,5,2.1,2.46 (1.17-3.75),233,97.9,3.67 (3.44-3.89)
microglia 1,958,0.07,3.0,290,3,1.03,2.27 (1.80-2.73),287,98.97,3.83 (3.60-4.06)
oligodendrocytes 3,639,0.063,20.0,15,4,26.67,0.50 (0.20-0.80),11,73.33,4.56 (3.30-5.82)
oligodendrocytes 2,528,0.088,2.0,175,13,7.43,3.63 (2.96-4.30),162,92.57,4.47 (4.09-4.84)
