tipo_celular,module_size,SLC12A6_MM,SLC12A6_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,352.0,0.205,64.0,73,0,0.0,NA,73,100.0,3.56 (3.22-3.91)
T cells 18,610.0,0.143,43.0,98,4,4.08,1.65 (0.15-3.15),94,95.92,3.17 (2.85-3.49)
astrocytes 5,1656.0,0.108,37.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48)
oligodendrocyte progenitor cells 7,4285.0,0.16,86.0,353,9,2.55,1.86 (1.05-2.66),344,97.45,3.95 (3.76-4.14)
GABA neurons expressing GLU receptors 22,400.0,0.12,11.0,24,1,4.17,2.00 (NA-NA),23,95.83,2.16 (1.63-2.70)
GLU like neurons 17,1316.0,0.163,80.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40)
da like neurons 11,204.0,0.22,65.0,2,0,0.0,NA,2,100.0,1.89 (-1.31-5.09)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,658.0,0.215,56.0,120,24,20.0,4.22 (3.49-4.95),96,80.0,4.72 (4.37-5.06)
oligodendrocytes 20,228.0,0.165,38.0,5,1,20.0,1.95 (NA-NA),4,80.0,3.58 (0.93-6.24)
GABA like neurons 14,3052.0,0.113,28.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,771.0,0.043,9.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27)
oligodendrocyte progenitor cells 12,3303.0,0.115,86.0,276,8,2.9,2.02 (1.30-2.74),268,97.1,3.60 (3.38-3.82)
oligodendrocytes 10,2107.0,0.183,63.0,358,10,2.79,1.61 (0.85-2.38),348,97.21,3.94 (3.75-4.13)
connective tissue cells 21,106.0,0.296,66.0,2,0,0.0,NA,2,100.0,4.57 (NA-NA)
astrocytes 15,1768.0,0.071,34.0,105,6,5.71,1.50 (0.73-2.26),99,94.29,3.33 (2.98-3.67)
oligodendrocytes 16,90.0,0.283,94.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,448.0,0.087,31.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80)
astrocytes microglia 23,161.0,0.305,42.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,787.0,0.14,30.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,2078.0,0.113,46.0,238,2,0.84,1.10 (-0.65-2.86),236,99.16,3.66 (3.44-3.88)
microglia 1,958.0,0.15,90.0,290,8,2.76,1.92 (1.25-2.58),282,97.24,3.88 (3.65-4.11)
oligodendrocytes 3,1003.0,0.086,40.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,921.0,0.128,34.0,200,3,1.5,2.89 (1.82-3.96),197,98.5,3.64 (3.37-3.91)
