tipo_celular,module_size,RETREG1_MM,RETREG1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,282.0,0.17,43.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42)
astrocytes 5,322.0,0.253,79.0,58,1,1.72,0.87 (NA-NA),57,98.28,4.24 (3.83-4.65)
oligodendrocyte progenitor cells 7,229.0,0.2,54.0,45,0,0.0,NA,45,100.0,5.01 (4.39-5.62)
GABA neurons expressing GLU receptors 22,823.0,0.093,6.0,23,1,4.35,NA,22,95.65,2.40 (1.67-3.12)
GLU like neurons 17,637.0,0.123,34.0,91,9,9.89,0.86 (0.32-1.40),82,90.11,5.11 (4.66-5.55)
da like neurons 11,137.0,0.298,56.0,2,0,0.0,NA,2,100.0,5.16 (NA-NA)
GABA neurons expressing GABA receptors 13,93.0,0.137,33.0,2,0,0.0,NA,2,100.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,676.0,0.385,66.0,110,4,3.64,0.90 (0.75-1.04),106,96.36,5.16 (4.73-5.58)
GABA like neurons 14,2402.0,0.147,24.0,455,26,5.71,2.66 (1.91-3.42),429,94.29,4.49 (4.30-4.67)
astrocytes 8,771.0,0.113,47.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27)
oligodendrocyte progenitor cells 12,708.0,0.236,82.0,25,4,16.0,4.94 (1.76-8.12),21,84.0,2.38 (1.53-3.23)
oligodendrocytes 10,236.0,0.56,69.0,82,0,0.0,NA,82,100.0,4.99 (4.48-5.51)
connective tissue cells 21,183.0,0.351,76.0,32,1,3.12,0.87 (NA-NA),31,96.88,5.26 (4.67-5.86)
astrocytes 15,1401.0,0.194,96.0,96,2,2.08,1.57 (1.57-1.57),94,97.92,3.67 (3.21-4.12)
oligodendrocytes 16,153.0,0.31,35.0,14,0,0.0,NA,14,100.0,4.67 (3.94-5.40)
da neurons 6,228.0,0.22,92.0,2,0,0.0,NA,2,100.0,2.12 (-0.17-4.40)
astrocytes microglia 23,161.0,0.247,13.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,161.0,0.241,75.0,45,0,0.0,NA,45,100.0,5.28 (4.66-5.91)
oligodendrocytes 0,261.0,0.193,54.0,42,6,14.29,1.17 (0.90-1.44),36,85.71,4.73 (4.13-5.33)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,116.0,0.245,22.0,7,2,28.57,0.96 (0.79-1.12),5,71.43,5.55 (4.15-6.96)
oligodendrocytes 2,131.0,0.182,49.0,20,0,0.0,NA,20,100.0,4.51 (3.77-5.25)
