tipo_celular,module_size,TMEM181_MM,TMEM181_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500.0,0.129,28.0,32,0,0.0,NA,32,100.0,3.72 (2.95-4.50)
T cells 18,349.0,0.104,19.0,68,0,0.0,NA,68,100.0,4.37 (3.81-4.93)
astrocytes 5,1656.0,0.102,28.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48)
oligodendrocyte progenitor cells 7,4285.0,0.172,94.0,353,1,0.28,0.55 (NA-NA),352,99.72,3.90 (3.71-4.09)
GABA neurons expressing GLU receptors 22,567.0,0.27,76.0,16,0,0.0,NA,16,100.0,1.97 (1.30-2.64)
GLU like neurons 17,489.0,0.205,80.0,42,0,0.0,NA,42,100.0,5.99 (5.44-6.55)
da like neurons 11,71.0,0.282,48.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.15,67.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,253.0,0.154,47.0,7,0,0.0,NA,7,100.0,0.94 (0.08-1.80)
GABA like neurons 14,1300.0,0.236,63.0,306,0,0.0,NA,306,100.0,5.09 (4.83-5.36)
astrocytes 8,262.0,0.084,20.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74)
oligodendrocyte progenitor cells 12,3303.0,0.077,48.0,276,1,0.36,0.55 (NA-NA),275,99.64,3.56 (3.34-3.77)
oligodendrocytes 10,2107.0,0.145,50.0,358,1,0.28,0.55 (NA-NA),357,99.72,3.87 (3.68-4.06)
connective tissue cells 21,92.0,0.285,54.0,3,0,0.0,NA,3,100.0,0.61 (-0.07-1.28)
astrocytes 15,1401.0,0.115,74.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06)
oligodendrocytes 16,51.0,0.18,18.0,1,0,0.0,NA,1,100.0,3.22 (NA-NA)
da neurons 6,448.0,0.135,77.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80)
astrocytes microglia 23,122.0,0.333,70.0,5,0,0.0,NA,5,100.0,1.94 (-0.80-4.68)
astrocytes 4,787.0,0.167,78.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,2078.0,0.124,69.0,238,0,0.0,NA,238,100.0,3.64 (3.42-3.86)
microglia 1,958.0,0.13,76.0,290,0,0.0,NA,290,100.0,3.81 (3.58-4.04)
oligodendrocytes 3,854.0,0.103,65.0,76,0,0.0,NA,76,100.0,2.78 (2.45-3.11)
oligodendrocytes 2,921.0,0.145,65.0,200,0,0.0,NA,200,100.0,3.62 (3.36-3.89)
