tipo_celular,module_size,RTRAF_MM,RTRAF_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,506.0,0.098,11.0,225,14,6.22,2.14 (1.47-2.81),211,93.78,3.75 (3.49-4.00)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.09,5.0,353,79,22.38,2.41 (2.08-2.74),274,77.62,4.41 (4.24-4.59)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,67.0,0.154,35.0,21,0,0.0,NA,21,100.0,2.46 (1.84-3.08)
endothelial cells 9,916.0,0.15,32.0,302,1,0.33,0.21 (NA-NA),301,99.67,4.00 (3.77-4.22)
oligodendrocytes 20,228.0,0.016,3.0,5,3,60.0,1.95 (0.03-3.87),2,40.0,5.21 (1.90-8.51)
GABA like neurons 14,2402.0,0.243,54.0,455,34,7.47,2.23 (1.68-2.77),421,92.53,4.59 (4.41-4.76)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,1049.0,0.132,69.0,235,4,1.7,5.63 (3.48-7.77),231,98.3,3.78 (3.55-4.01)
oligodendrocytes 10,483.0,0.144,59.0,129,1,0.78,3.96 (NA-NA),128,99.22,3.42 (3.03-3.82)
connective tissue cells 21,301.0,0.269,21.0,158,9,5.7,2.74 (1.32-4.15),149,94.3,4.39 (4.02-4.76)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,64.0,0.244,80.0,1,0,0.0,NA,1,100.0,0.39 (NA-NA)
da neurons 6,409.0,0.089,25.0,235,9,3.83,2.09 (1.34-2.83),226,96.17,4.08 (3.83-4.33)
astrocytes microglia 23,125.0,0.264,20.0,6,0,0.0,NA,6,100.0,2.99 (2.22-3.77)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,2078.0,0.111,44.0,238,25,10.5,3.26 (2.63-3.89),213,89.5,3.69 (3.45-3.92)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,743.0,0.076,41.0,76,1,1.32,5.75 (NA-NA),75,98.68,3.12 (2.73-3.51)
oligodendrocytes 2,528.0,0.182,38.0,175,4,2.29,2.00 (1.86-2.14),171,97.71,4.46 (4.11-4.82)
