tipo_celular,module_size,RPS8_MM,RPS8_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,185.0,0.544,96.0,98,39,39.8,3.26 (2.65-3.88),59,60.2,3.17 (2.47-3.87)
T cells 18,506.0,0.448,91.0,225,41,18.22,3.29 (2.70-3.88),184,81.78,3.69 (3.42-3.97)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,448.0,0.319,92.0,108,15,13.89,4.54 (3.68-5.41),93,86.11,3.01 (2.54-3.49)
GABA neurons expressing GLU receptors 22,487.0,0.24,60.0,73,21,28.77,3.35 (2.57-4.12),52,71.23,2.50 (2.08-2.92)
GLU like neurons 17,685.0,0.142,57.0,135,34,25.19,2.33 (1.88-2.79),101,74.81,3.47 (3.11-3.83)
da like neurons 11,1220.0,0.153,39.0,410,29,7.07,3.29 (2.75-3.83),381,92.93,4.32 (4.13-4.52)
GABA neurons expressing GABA receptors 13,90.0,0.164,49.0,4,2,50.0,2.99 (1.51-4.47),2,50.0,7.70 (7.70-7.70)
endothelial cells 9,916.0,0.519,93.0,302,24,7.95,3.89 (3.09-4.70),278,92.05,3.99 (3.75-4.23)
oligodendrocytes 20,348.0,0.122,48.0,33,0,0.0,NA,33,100.0,2.73 (2.25-3.22)
GABA like neurons 14,2402.0,0.418,81.0,455,53,11.65,2.69 (2.17-3.22),402,88.35,4.60 (4.42-4.79)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,1049.0,0.397,96.0,235,26,11.06,4.11 (3.43-4.78),209,88.94,3.79 (3.54-4.04)
oligodendrocytes 10,483.0,0.525,98.0,129,21,16.28,4.48 (3.82-5.14),108,83.72,3.21 (2.77-3.65)
connective tissue cells 21,301.0,0.438,66.0,158,23,14.56,3.52 (2.69-4.35),135,85.44,4.43 (4.03-4.84)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,155.0,0.2,39.0,8,2,25.0,0.47 (0.34-0.61),6,75.0,4.21 (0.18-8.24)
da neurons 6,729.0,0.152,50.0,182,27,14.84,3.68 (2.88-4.48),155,85.16,3.63 (3.37-3.89)
astrocytes microglia 23,137.0,0.421,71.0,188,45,23.94,2.96 (2.40-3.51),143,76.06,5.00 (4.64-5.36)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,546.0,0.233,76.0,252,52,20.63,2.75 (2.22-3.29),200,79.37,4.50 (4.25-4.74)
microglia 1,406.0,0.501,88.0,278,11,3.96,4.12 (3.23-5.01),267,96.04,4.37 (4.09-4.66)
oligodendrocytes 3,303.0,0.221,79.0,154,17,11.04,4.55 (3.75-5.36),137,88.96,3.50 (3.16-3.83)
oligodendrocytes 2,526.0,0.308,64.0,213,12,5.63,4.40 (3.43-5.36),201,94.37,3.95 (3.67-4.24)
