tipo_celular,module_size,GBE1_MM,GBE1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,401,0.128,28.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24)
T cells 18,624,0.137,37.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48)
astrocytes 5,322,0.144,37.0,58,0,0.0,NA,58,100.0,4.17 (3.75-4.60)
oligodendrocyte progenitor cells 7,4285,0.154,77.0,353,15,4.25,1.27 (0.77-1.77),338,95.75,4.04 (3.86-4.22)
GABA neurons expressing GLU receptors 22,567,0.223,63.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70)
GLU like neurons 17,795,0.092,25.0,80,0,0.0,NA,80,100.0,5.68 (5.27-6.09)
da like neurons 11,191,0.317,58.0,93,0,0.0,NA,93,100.0,5.65 (5.25-6.05)
GABA neurons expressing GABA receptors 13,80,0.075,0.0,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,412,0.276,85.0,141,0,0.0,NA,141,100.0,2.96 (2.72-3.20)
oligodendrocytes 20,233,0.126,16.0,5,0,0.0,NA,5,100.0,0.63 (-0.10-1.37)
GABA like neurons 14,3052,0.148,58.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,520,0.208,72.0,288,11,3.82,3.07 (2.02-4.12),277,96.18,4.20 (4.00-4.40)
oligodendrocyte progenitor cells 12,3303,0.107,81.0,276,8,2.9,1.32 (0.87-1.76),268,97.1,3.63 (3.41-3.85)
oligodendrocytes 10,735,0.156,78.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14)
connective tissue cells 21,69,0.27,36.0,1,0,0.0,NA,1,100.0,NA
astrocytes 15,1768,0.055,18.0,105,10,9.52,1.34 (0.83-1.85),95,90.48,3.43 (3.09-3.77)
oligodendrocytes 16,313,0.192,38.0,291,1,0.34,0.55 (NA-NA),290,99.66,4.34 (4.12-4.57)
da neurons 6,228,0.443,100.0,2,0,0.0,NA,2,100.0,2.12 (-0.17-4.40)
astrocytes microglia 23,125,0.253,13.0,6,0,0.0,NA,6,100.0,2.99 (2.22-3.77)
astrocytes 4,787,0.125,12.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,479,0.1,7.0,40,0,0.0,NA,40,100.0,5.86 (5.35-6.38)
microglia 1,480,0.119,12.0,163,0,0.0,NA,163,100.0,3.71 (3.44-3.97)
oligodendrocytes 3,457,0.086,32.0,345,7,2.03,3.80 (3.17-4.43),338,97.97,4.28 (4.07-4.49)
oligodendrocytes 2,804,0.134,29.0,84,5,5.95,1.44 (0.47-2.40),79,94.05,2.79 (2.45-3.13)
