tipo_celular,module_size,LTBP1_MM,LTBP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,322.0,0.231,74.0,58,11,18.97,3.18 (2.51-3.85),47,81.03,4.46 (3.98-4.94)
oligodendrocyte progenitor cells 7,4285.0,0.134,49.0,353,30,8.5,2.31 (1.82-2.81),323,91.5,4.08 (3.90-4.27)
GABA neurons expressing GLU receptors 22,823.0,0.297,95.0,23,5,21.74,4.00 (3.54-4.46),18,78.26,1.78 (1.03-2.53)
GLU like neurons 17,795.0,0.189,74.0,80,3,3.75,3.52 (2.45-4.59),77,96.25,5.80 (5.39-6.21)
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,303.0,0.537,97.0,54,4,7.41,4.76 (4.29-5.24),50,92.59,4.85 (4.14-5.56)
oligodendrocytes 20,295.0,0.023,2.0,28,1,3.57,3.78 (NA-NA),27,96.43,2.13 (1.67-2.59)
GABA like neurons 14,2090.0,0.157,53.0,74,1,1.35,2.53 (NA-NA),73,98.65,2.95 (2.57-3.33)
astrocytes 8,727.0,0.061,18.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,143.0,0.069,13.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA)
oligodendrocytes 10,1277.0,0.131,65.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,88.0,0.205,11.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1401.0,0.158,91.0,96,7,7.29,3.95 (3.24-4.67),89,92.71,3.58 (3.09-4.07)
oligodendrocytes 16,116.0,0.196,45.0,3,0,0.0,NA,3,100.0,0.40 (0.12-0.68)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,161.0,0.304,40.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,752.0,0.176,84.0,96,6,6.25,3.68 (3.00-4.36),90,93.75,3.26 (2.90-3.61)
oligodendrocytes 0,479.0,0.174,66.0,40,0,0.0,NA,40,100.0,5.86 (5.35-6.38)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,1003.0,0.207,96.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,348.0,0.148,24.0,114,1,0.88,2.43 (NA-NA),113,99.12,5.15 (4.74-5.56)
