tipo_celular,module_size,MZT2B_MM,MZT2B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,506.0,0.263,71.0,225,3,1.33,1.23 (0.56-1.90),222,98.67,3.65 (3.41-3.90)
astrocytes 5,328.0,0.218,70.0,128,0,0.0,NA,128,100.0,3.57 (3.23-3.91)
oligodendrocyte progenitor cells 7,448.0,0.179,76.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69)
GABA neurons expressing GLU receptors 22,703.0,0.247,83.0,23,1,4.35,1.18 (NA-NA),22,95.65,2.13 (1.39-2.88)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.187,52.0,410,2,0.49,0.67 (0.43-0.90),408,99.51,4.27 (4.09-4.46)
GABA neurons expressing GABA receptors 13,417.0,0.191,67.0,213,13,6.1,1.26 (0.75-1.78),200,93.9,3.97 (3.74-4.20)
endothelial cells 9,916.0,0.377,83.0,302,0,0.0,NA,302,100.0,3.98 (3.75-4.21)
oligodendrocytes 20,938.0,0.174,72.0,169,1,0.59,0.55 (NA-NA),168,99.41,3.50 (3.29-3.72)
GABA like neurons 14,2402.0,0.534,91.0,455,14,3.08,1.36 (0.78-1.94),441,96.92,4.47 (4.29-4.65)
astrocytes 8,603.0,0.118,74.0,89,0,0.0,NA,89,100.0,2.76 (2.41-3.11)
oligodendrocyte progenitor cells 12,1049.0,0.221,86.0,235,0,0.0,NA,235,100.0,3.82 (3.59-4.06)
oligodendrocytes 10,735.0,0.174,82.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14)
connective tissue cells 21,301.0,0.422,62.0,158,2,1.27,0.67 (0.43-0.90),156,98.73,4.32 (3.96-4.68)
astrocytes 15,1401.0,0.159,91.0,96,3,3.12,2.48 (0.70-4.26),93,96.88,3.66 (3.20-4.12)
oligodendrocytes 16,74.0,0.157,35.0,1,0,0.0,NA,1,100.0,NA
da neurons 6,729.0,0.25,88.0,182,2,1.1,1.57 (1.57-1.57),180,98.9,3.66 (3.41-3.92)
astrocytes microglia 23,43.0,0.425,77.0,3,0,0.0,NA,3,100.0,1.82 (NA-NA)
astrocytes 4,208.0,0.103,4.0,173,0,0.0,NA,173,100.0,3.80 (3.50-4.10)
oligodendrocytes 0,546.0,0.169,49.0,252,13,5.16,1.29 (0.72-1.86),239,94.84,4.30 (4.06-4.53)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,303.0,0.128,47.0,154,0,0.0,NA,154,100.0,3.62 (3.30-3.94)
oligodendrocytes 2,526.0,0.259,49.0,213,0,0.0,NA,213,100.0,3.98 (3.70-4.25)
