tipo_celular,module_size,CRTC1_MM,CRTC1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,352.0,0.063,2.0,73,2,2.74,3.75 (2.24-5.26),71,97.26,3.56 (3.20-3.91)
T cells 18,727.0,0.096,14.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82)
astrocytes 5,932.0,0.169,97.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,4285.0,0.11,17.0,353,47,13.31,1.94 (1.66-2.23),306,86.69,4.29 (4.11-4.46)
GABA neurons expressing GLU receptors 22,823.0,0.166,42.0,23,2,8.7,1.01 (NA-NA),21,91.3,2.48 (1.73-3.23)
GLU like neurons 17,1247.0,0.137,53.0,51,1,1.96,NA,50,98.04,3.62 (3.05-4.20)
da like neurons 11,853.0,0.223,89.0,133,36,27.07,1.82 (1.53-2.11),97,72.93,3.90 (3.55-4.25)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,938.0,0.016,1.0,169,3,1.78,0.69 (0.05-1.34),166,98.22,3.54 (3.33-3.75)
GABA like neurons 14,2090.0,0.327,99.0,74,14,18.92,2.22 (1.97-2.48),60,81.08,3.12 (2.67-3.58)
astrocytes 8,1266.0,0.168,91.0,66,16,24.24,1.77 (1.16-2.37),50,75.76,3.80 (3.37-4.22)
oligodendrocyte progenitor cells 12,3303.0,0.042,9.0,276,39,14.13,2.04 (1.81-2.27),237,85.87,3.88 (3.65-4.12)
oligodendrocytes 10,1277.0,0.028,3.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,118.0,0.29,43.0,2,0,0.0,NA,2,100.0,6.60 (NA-NA)
astrocytes 15,1768.0,0.028,2.0,105,14,13.33,1.36 (0.99-1.73),91,86.67,3.50 (3.15-3.84)
oligodendrocytes 16,91.0,0.226,70.0,5,0,0.0,NA,5,100.0,1.75 (0.02-3.49)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,124.0,0.235,11.0,1,0,0.0,NA,1,100.0,4.05 (NA-NA)
astrocytes 4,721.0,0.192,98.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38)
oligodendrocytes 0,2078.0,0.097,17.0,238,13,5.46,2.33 (1.92-2.74),225,94.54,3.73 (3.50-3.96)
microglia 1,958.0,0.097,27.0,290,6,2.07,1.31 (0.80-1.82),284,97.93,3.87 (3.64-4.10)
oligodendrocytes 3,681.0,0.053,9.0,87,44,50.57,2.17 (1.87-2.46),43,49.43,3.02 (2.60-3.44)
oligodendrocytes 2,407.0,0.137,29.0,122,46,37.7,1.98 (1.71-2.25),76,62.3,4.58 (4.09-5.06)
