tipo_celular,module_size,INTS1_MM,INTS1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,610.0,0.108,18.0,98,26,26.53,1.54 (1.19-1.90),72,73.47,3.78 (3.48-4.07)
astrocytes 5,1656.0,0.064,1.0,136,12,8.82,3.78 (2.67-4.89),124,91.18,3.15 (2.87-3.42)
oligodendrocyte progenitor cells 7,666.0,0.084,5.0,127,3,2.36,0.90 (0.75-1.04),124,97.64,3.94 (3.61-4.27)
GABA neurons expressing GLU receptors 22,1069.0,0.116,17.0,37,4,10.81,2.06 (1.60-2.51),33,89.19,2.17 (1.65-2.69)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.074,5.0,410,1,0.24,0.79 (NA-NA),409,99.76,4.26 (4.07-4.45)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,303.0,0.055,4.0,54,0,0.0,NA,54,100.0,4.84 (4.22-5.46)
oligodendrocytes 20,938.0,0.017,1.0,169,2,1.18,0.76 (-0.33-1.85),167,98.82,3.52 (3.31-3.74)
GABA like neurons 14,2402.0,0.138,21.0,455,19,4.18,1.46 (1.01-1.91),436,95.82,4.52 (4.34-4.70)
astrocytes 8,283.0,0.069,18.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.053,19.0,276,37,13.41,2.19 (1.84-2.54),239,86.59,3.83 (3.60-4.06)
oligodendrocytes 10,735.0,0.079,37.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,418.0,0.065,37.0,54,1,1.85,1.29 (NA-NA),53,98.15,3.73 (3.30-4.17)
oligodendrocytes 16,155.0,0.451,100.0,8,2,25.0,0.47 (0.34-0.61),6,75.0,4.21 (0.18-8.24)
da neurons 6,307.0,0.074,10.0,95,0,0.0,NA,95,100.0,4.85 (4.41-5.28)
astrocytes microglia 23,96.0,0.283,34.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.128,22.0,104,26,25.0,2.11 (1.62-2.61),78,75.0,3.14 (2.82-3.46)
oligodendrocytes 0,2078.0,0.087,7.0,238,16,6.72,3.14 (2.43-3.86),222,93.28,3.68 (3.45-3.91)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,44.0,0.029,0.0,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,1630.0,0.135,35.0,154,6,3.9,4.77 (4.38-5.16),148,96.1,3.17 (2.90-3.44)
