tipo_celular,module_size,GSTP1_MM,GSTP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,305.0,0.11,15.0,15,0,0.0,NA,15,100.0,5.79 (5.09-6.49)
T cells 18,506.0,0.268,72.0,225,39,17.33,3.12 (2.67-3.57),186,82.67,3.71 (3.42-3.99)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,628.0,0.244,82.0,164,12,7.32,4.23 (3.67-4.80),152,92.68,4.07 (3.72-4.42)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,417.0,0.239,88.0,213,32,15.02,2.15 (1.40-2.89),181,84.98,4.03 (3.80-4.26)
endothelial cells 9,916.0,0.628,99.0,302,17,5.63,3.97 (2.61-5.33),285,94.37,3.98 (3.75-4.21)
oligodendrocytes 20,938.0,0.358,98.0,169,27,15.98,3.04 (2.29-3.79),142,84.02,3.54 (3.31-3.77)
GABA like neurons 14,2402.0,0.703,99.0,455,41,9.01,2.13 (1.58-2.68),414,90.99,4.56 (4.38-4.74)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,1049.0,0.332,93.0,235,16,6.81,4.46 (3.28-5.64),219,93.19,3.79 (3.56-4.03)
oligodendrocytes 10,483.0,0.331,85.0,129,3,2.33,4.06 (3.86-4.26),126,97.67,3.41 (3.01-3.81)
connective tissue cells 21,301.0,0.629,96.0,158,29,18.35,3.84 (3.12-4.57),129,81.65,4.35 (3.93-4.77)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,65.0,0.252,74.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,729.0,0.313,97.0,182,4,2.2,1.40 (1.32-1.48),178,97.8,3.68 (3.43-3.93)
astrocytes microglia 23,101.0,0.295,42.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,546.0,0.329,93.0,252,48,19.05,2.61 (2.01-3.21),204,80.95,4.41 (4.17-4.66)
microglia 1,406.0,0.321,71.0,278,22,7.91,4.92 (4.50-5.34),256,92.09,4.30 (4.01-4.60)
oligodendrocytes 3,303.0,0.218,78.0,154,1,0.65,NA,153,99.35,3.62 (3.30-3.94)
oligodendrocytes 2,526.0,0.506,93.0,213,7,3.29,5.19 (3.81-6.58),206,96.71,3.95 (3.67-4.23)
